States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.000183	0.000161	0.000173	0.000139	0.000144	0.000148	0.000184	0.000141	0.000175	0.00021	0.000228	0.000767	0.00019975	0.00018	0.0001895	0.000155	0.000155	0.000159	0.000208	0.000152	0.00020175	0.000221	0.00024775	0.00093275	0.000204	0.0002455	0.0002615	0.000163	0.000162	0.0001745	0.000215	0.000156	0.000216	0.000227	0.000256	0.0009875	0.000209	0.00025525	0.000268	0.00017225	0.00017325	0.000185	0.000221	0.000161	0.000229	0.000242	0.000264	0.001056	0.000461	0.000882	0.000357	0.000216	0.000199	0.000223	0.000246	0.000197	0.000287	0.00066	0.000292	0.001271	0.00021006	0.00026597	0.00023941	0.00016461	0.00016467	0.00017529	0.00021441	0.00015673	0.000218	0.00024223	0.00025616	0.00099211
20	0.000534	0.000525	0.000565	0.000426	0.00041	0.000392	0.000507	0.000371	0.000477	0.000506	0.000597	0.002746	0.00055675	0.000568	0.000599	0.000465	0.000472	0.0004415	0.00053575	0.00038775	0.000537	0.00054	0.00064475	0.0031245	0.00057	0.0007195	0.000769	0.000489	0.0004965	0.00046	0.0005485	0.000404	0.000569	0.0005615	0.0006705	0.0033035	0.00059225	0.000754	0.000783	0.00051225	0.000519	0.000479	0.0005615	0.00041925	0.0006065	0.00062525	0.00069175	0.003482	0.001072	0.002299	0.000962	0.000577	0.000587	0.000562	0.0006	0.000463	0.000666	0.00138	0.000786	0.004145	0.00059124	0.00075685	0.0007163	0.00049075	0.00049606	0.00046015	0.0005496	0.00040557	0.00056969	0.0006437	0.00067237	0.00330243
30	0.001029	0.000914	0.000988	0.000846	0.000839	0.000731	0.000913	0.000658	0.000881	0.00089	0.001092	0.005783	0.00107	0.00119575	0.001287	0.000921	0.00092225	0.00077875	0.00096275	0.00069	0.000954	0.000974	0.00114525	0.00634775	0.0010855	0.0012185	0.001305	0.000945	0.0009485	0.0008085	0.0009755	0.000705	0.000992	0.0011425	0.0011785	0.006711	0.00110925	0.0014705	0.00132725	0.0009775	0.00097475	0.00083325	0.00099	0.00072125	0.0010275	0.001709	0.00121825	0.006998	0.002054	0.003388	0.001658	0.001062	0.001031	0.000899	0.001057	0.000771	0.001119	0.002668	0.001381	0.008898	0.00111108	0.00137732	0.00134495	0.00095019	0.00095004	0.00080917	0.00097767	0.00070748	0.00099405	0.00142693	0.00118369	0.0067411
40	0.001711	0.001715	0.001838	0.001431	0.001425	0.001094	0.001403	0.001024	0.001327	0.001371	0.001659	0.009397	0.00175775	0.001765	0.00188975	0.001512	0.001502	0.0011725	0.001467	0.0010645	0.00141775	0.001461	0.0017995	0.0107055	0.001782	0.002157	0.002297	0.001544	0.0015395	0.0011935	0.001482	0.0010925	0.00146	0.001515	0.0018375	0.011254	0.00180825	0.00223075	0.00234625	0.00158025	0.00157425	0.001218	0.001505	0.00111925	0.001498	0.001667	0.00188175	0.011609	0.001888	0.005901	0.002759	0.001693	0.001702	0.001306	0.001555	0.001211	0.001655	0.004058	0.002081	0.014345	0.00178373	0.00221133	0.00213939	0.00154986	0.00154275	0.00119536	0.00148518	0.00109435	0.00146056	0.00163604	0.00184114	0.01120309
50	0.002632	0.00229	0.002441	0.002034	0.002031	0.001523	0.002025	0.001507	0.001804	0.001886	0.00249	0.01486	0.002715	0.00286425	0.002675	0.00222975	0.002217	0.00162	0.0020735	0.00157325	0.001926	0.00203125	0.00260225	0.01702225	0.0027755	0.0029665	0.003143	0.002296	0.0022705	0.001649	0.0021135	0.001608	0.00197	0.0021975	0.002709	0.017968	0.0028265	0.00304025	0.00323425	0.0023455	0.002322	0.0017015	0.00214525	0.0016365	0.00203975	0.0027915	0.0027705	0.01900975	0.003795	0.006851	0.004263	0.002665	0.002486	0.001832	0.0023	0.001757	0.002266	0.004764	0.003071	0.021405	0.00278897	0.0030673	0.00306385	0.00229298	0.0022711	0.00165854	0.00211713	0.00160763	0.00198721	0.00253371	0.00270172	0.01809255
60	0.00369	0.002999	0.003175	0.002911	0.002924	0.001945	0.002642	0.001957	0.002321	0.002515	0.003232	0.021348	0.0038465	0.00375875	0.0039845	0.00308325	0.00308175	0.0020665	0.002785	0.00207675	0.002483	0.00602375	0.003463	0.0240845	0.0039315	0.003915	0.00413	0.0031995	0.003168	0.0021185	0.002849	0.0021325	0.002545	0.0060995	0.003582	0.0254415	0.0040085	0.00402925	0.004273	0.0032665	0.0032165	0.0021885	0.00290675	0.00217025	0.00266475	0.00620775	0.00369975	0.0263245	0.015007	0.00482	0.005207	0.003702	0.003512	0.002502	0.003089	0.00233	0.003025	0.006636	0.004078	0.032066	0.00405205	0.00388204	0.00411788	0.00319618	0.00316259	0.00212601	0.00284645	0.00212533	0.00257337	0.00593345	0.00359622	0.02542644
70	0.00489	0.003838	0.004099	0.00381	0.003809	0.002488	0.003389	0.00262	0.002857	0.00342	0.004224	0.028703	0.00501	0.004751	0.00501775	0.00396225	0.003942	0.0025805	0.0035275	0.002697	0.00296175	0.00712275	0.00440125	0.030588	0.0050595	0.0048275	0.005109	0.0040345	0.003988	0.002636	0.003566	0.0027415	0.00303	0.0074145	0.004495	0.031511	0.00513925	0.005037	0.00540475	0.00409425	0.00407225	0.0026855	0.00361225	0.0027905	0.00311575	0.0075485	0.0046085	0.03260375	0.02238	0.019709	0.006309	0.004199	0.004281	0.002837	0.003759	0.002954	0.003331	0.008248	0.004912	0.036276	0.00564041	0.00525879	0.00527625	0.00402666	0.00400328	0.0026361	0.00357129	0.00274788	0.00304393	0.00718872	0.00451015	0.03162352
80	0.006254	0.004847	0.005314	0.004802	0.004711	0.002983	0.004074	0.003205	0.003294	0.004192	0.005241	0.036839	0.0065535	0.00557425	0.0058905	0.0050255	0.0049925	0.003109	0.00431575	0.003387	0.0035755	0.00907425	0.00553475	0.04044975	0.0066545	0.0057485	0.006096	0.0051055	0.005087	0.003174	0.0043755	0.0034605	0.0036845	0.009344	0.005683	0.0418045	0.006933	0.00651	0.00690425	0.00521225	0.0052235	0.00325325	0.0044585	0.00351075	0.0038865	0.0095915	0.00588675	0.04294825	0.026934	0.00764	0.008121	0.005524	0.005533	0.003486	0.004679	0.003743	0.004298	0.011011	0.006355	0.047716	0.00901526	0.00598769	0.00634583	0.00512629	0.00510908	0.00317891	0.00438227	0.00345978	0.00374315	0.00910333	0.00571901	0.04190192
90	0.007547	0.006368	0.006667	0.005688	0.005605	0.003391	0.00477	0.003718	0.003875	0.005003	0.00644	0.044466	0.00843575	0.00674375	0.0071135	0.00623475	0.0061935	0.00373075	0.005233	0.00416975	0.00430225	0.010012	0.00686575	0.051822	0.008721	0.00726	0.0078365	0.006348	0.006303	0.003831	0.005335	0.0042775	0.004478	0.010225	0.007174	0.05641	0.009752	0.00785575	0.0083605	0.00659825	0.006637	0.00407025	0.0057565	0.00465325	0.00537925	0.01040125	0.00832775	0.060675	0.04057	0.008993	0.009484	0.007769	0.007405	0.004734	0.006554	0.00607	0.00714	0.031531	0.010361	0.079952	0.01266594	0.0073518	0.00785267	0.00646511	0.00644308	0.00389902	0.00548666	0.00446464	0.00479148	0.00989195	0.00758831	0.05663235
100	0.009606	0.007468	0.007834	0.007126	0.007093	0.004135	0.006049	0.004635	0.004637	0.005967	0.007866	0.061592	0.010169	0.00804125	0.00849925	0.00753925	0.0074485	0.00433275	0.00630825	0.004991	0.004927	0.00629975	0.0084215	0.06733175	0.0103135	0.008784	0.0093605	0.0076955	0.007594	0.0044405	0.0064085	0.0050665	0.005053	0.011025	0.0086385	0.0703145	0.0109405	0.009137	0.009842	0.00826875	0.008034	0.0045285	0.0065215	0.00526475	0.0058295	0.011894	0.0094945	0.0725115	0.037216	0.010553	0.011652	0.008813	0.008654	0.004922	0.007137	0.005991	0.006457	0.013694	0.01079	0.079217	0.01324565	0.00866321	0.00923706	0.00786172	0.007725	0.00446577	0.00645778	0.00515954	0.00528057	0.0092274	0.00896677	0.07012107
