States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.454006	0.271449	0.271449	0.35023	0.35023	0.320084	0.453271	0.429975	0.474138	0.453271	0.419149	0.74359	0.492351	0.310789	0.310789	0.4080345	0.4080345	0.37238525	0.495792	0.487072	0.5430705	0.495792	0.49030925	0.829632	0.508091	0.329915	0.329915	0.4265905	0.4265905	0.399636	0.513043	0.507331	0.571026	0.513043	0.5109785	0.857721	0.52156675	0.458065	0.458065	0.455782	0.455782	0.44261925	0.531066	0.520505	0.60440425	0.531066	0.52684325	0.8838695	0.551402	0.496503	0.496503	0.491166	0.491166	0.482014	0.596817	0.551402	0.683398	0.596817	0.572727	0.936567	0.50669396	0.36677614	0.36677614	0.42951106	0.42951106	0.40373233	0.51128933	0.50263309	0.5759129	0.51128933	0.50692673	0.8554613
20	0.42377	0.194114	0.194114	0.301095	0.303082	0.264844	0.431351	0.390838	0.439301	0.431351	0.411937	0.713523	0.470817	0.235409	0.235409	0.32746075	0.32634875	0.29616575	0.47526925	0.46116675	0.4912395	0.47526925	0.472509	0.815468	0.4818005	0.248971	0.248971	0.3403395	0.3403395	0.312085	0.488227	0.4706655	0.5144815	0.488227	0.4849585	0.8374495	0.491204	0.280586	0.280586	0.357886	0.357886	0.32589675	0.50128025	0.48094275	0.53593675	0.50128025	0.5	0.85800475	0.502075	0.491204	0.491204	0.386534	0.386534	0.369512	0.545852	0.515478	0.593664	0.545852	0.534106	0.909524	0.48047507	0.25875059	0.25875059	0.34240854	0.34225042	0.31127658	0.48843188	0.468624	0.5123728	0.48843188	0.4836156	0.83615419
30	0.419305	0.178681	0.178681	0.252344	0.252344	0.238707	0.430905	0.391416	0.420643	0.430905	0.399367	0.741325	0.446914	0.207569	0.207569	0.28427575	0.28427575	0.2613665	0.455527	0.43418225	0.463509	0.455527	0.44861875	0.81456525	0.455919	0.219927	0.219927	0.2936605	0.2936605	0.2696515	0.466046	0.444098	0.481299	0.466046	0.461926	0.8299655	0.465296	0.227673	0.227673	0.3028845	0.3028845	0.28013625	0.47711625	0.45502425	0.4983165	0.47711625	0.47495375	0.8523905	0.475066	0.322926	0.315331	0.326531	0.326531	0.301538	0.495545	0.479899	0.539112	0.495545	0.504926	0.8917	0.45450131	0.22318525	0.2226051	0.29220464	0.29216588	0.26958747	0.4661472	0.44392503	0.48040401	0.4661472	0.46216821	0.83147625
40	0.401731	0.171307	0.171307	0.236163	0.236163	0.220571	0.423077	0.38041	0.407684	0.423077	0.405734	0.744592	0.42959	0.190782	0.190782	0.25580625	0.25580625	0.23648025	0.449153	0.41131825	0.4482855	0.449153	0.4365415	0.80880675	0.437916	0.204064	0.204064	0.262779	0.2627135	0.2436665	0.4583235	0.422572	0.459159	0.4583235	0.4465505	0.829366	0.44444525	0.211589	0.211589	0.267854	0.2679905	0.24871125	0.468256	0.433047	0.47379975	0.468256	0.45954625	0.84805675	0.455577	0.28845	0.28845	0.299571	0.299571	0.267774	0.494283	0.458097	0.519578	0.494283	0.494913	0.890551	0.43700618	0.2022181	0.2022181	0.26247451	0.26239022	0.24298578	0.45826366	0.42131607	0.4601362	0.45826366	0.44678363	0.82846034
50	0.382696	0.171681	0.171681	0.21712	0.219928	0.205178	0.421971	0.356432	0.397777	0.421971	0.397611	0.766327	0.413651	0.182308	0.182308	0.23760725	0.2375345	0.22274875	0.444504	0.4037145	0.43682325	0.444504	0.43010975	0.818165	0.421569	0.187669	0.187669	0.243518	0.243646	0.228245	0.4547415	0.414254	0.4481085	0.4547415	0.4400635	0.827902	0.431026	0.202967	0.202967	0.25015525	0.25026225	0.23311225	0.460831	0.42190375	0.4581165	0.460831	0.451981	0.845525	0.439416	0.325307	0.244168	0.26604	0.26287	0.262452	0.474744	0.435598	0.485612	0.474744	0.476668	0.875141	0.42157215	0.19447025	0.19278117	0.24376436	0.24369466	0.22786476	0.45243816	0.41185867	0.44684227	0.45243816	0.43949717	0.83016538
60	0.363072	0.162924	0.162924	0.214547	0.214547	0.203053	0.409551	0.366934	0.392383	0.409551	0.392248	0.777673	0.4018975	0.17403925	0.17403925	0.225947	0.225947	0.21051175	0.43891675	0.3932775	0.42608325	0.43891675	0.4245305	0.8094255	0.4095515	0.178956	0.178956	0.229761	0.2298055	0.215177	0.4487925	0.401129	0.438465	0.4487925	0.4331575	0.8225305	0.4168395	0.19101275	0.19101275	0.2340365	0.23395575	0.2213295	0.45536625	0.409691	0.44894725	0.45536625	0.44359025	0.837308	0.430616	0.410918	0.323568	0.251865	0.24448	0.231312	0.474854	0.424676	0.479858	0.474854	0.464664	0.86464	0.40845053	0.19312799	0.19026903	0.23035707	0.2300131	0.21607594	0.44705672	0.40051393	0.43683364	0.44705672	0.43265403	0.82289068
70	0.353828	0.152071	0.152071	0.201661	0.203226	0.192409	0.424704	0.368214	0.389398	0.424704	0.405793	0.750187	0.3898685	0.168838	0.1690705	0.2166635	0.21705225	0.20403575	0.442028	0.38891625	0.419671	0.442028	0.423839	0.80779875	0.3991225	0.174051	0.174334	0.220331	0.221168	0.208321	0.4473935	0.395271	0.432487	0.4473935	0.432351	0.821096	0.4055425	0.177218	0.177218	0.22498825	0.22528975	0.21145475	0.45320275	0.40240625	0.4426755	0.45320275	0.43999675	0.83496925	0.423399	0.319818	0.319818	0.234635	0.234635	0.21807	0.470494	0.416042	0.466259	0.470494	0.471821	0.859913	0.39690799	0.17954519	0.1791117	0.22067238	0.22107948	0.20740252	0.4475651	0.39528819	0.43077795	0.4475651	0.43319367	0.82044807
80	0.339379	0.152614	0.152614	0.199739	0.199821	0.189284	0.418355	0.357157	0.387332	0.418355	0.381604	0.765478	0.375594	0.165805	0.165805	0.2095265	0.209582	0.1974175	0.43749675	0.38155175	0.413699	0.43749675	0.41793325	0.8077335	0.3895805	0.171019	0.171019	0.212604	0.2128775	0.200706	0.4432895	0.3879535	0.425472	0.4432895	0.4249265	0.820999	0.39525025	0.17356625	0.17356625	0.217146	0.21769275	0.20527275	0.4502585	0.39365075	0.43473475	0.4502585	0.43473875	0.83720475	0.412404	0.389264	0.254244	0.229043	0.229043	0.210314	0.462974	0.412076	0.464564	0.462974	0.454975	0.858731	0.38566605	0.17575562	0.17372103	0.21312459	0.21341965	0.20064689	0.44344401	0.3872142	0.42533608	0.44344401	0.42517667	0.82060444
90	0.327517	0.150162	0.150162	0.192722	0.192722	0.181525	0.415213	0.356689	0.384363	0.415213	0.390937	0.776819	0.3627765	0.16032475	0.16032475	0.2028315	0.20265575	0.190418	0.4362985	0.37703275	0.40826225	0.4362985	0.4135205	0.80905725	0.376802	0.167296	0.167296	0.206319	0.206319	0.1944605	0.441309	0.382891	0.4167525	0.441309	0.423186	0.8219915	0.3854075	0.1711445	0.1711445	0.20887675	0.2087335	0.19694525	0.446898	0.389714	0.425481	0.446898	0.42880375	0.83174025	0.394725	0.311569	0.249066	0.22403	0.215813	0.203244	0.460304	0.40337	0.448951	0.460304	0.451744	0.855778	0.37367751	0.17292214	0.17309548	0.20581267	0.20568913	0.19359719	0.44114803	0.38270305	0.41722934	0.44114803	0.42165563	0.82015402
100	0.33014	0.148255	0.148255	0.19104	0.19104	0.181489	0.419385	0.362514	0.38256	0.419385	0.398043	0.768896	0.3592145	0.1566845	0.1566845	0.1990175	0.1993035	0.188061	0.4371185	0.37367875	0.40845625	0.4371185	0.41395575	0.80280525	0.371754	0.1651445	0.1651445	0.201282	0.202038	0.1904075	0.443514	0.3803905	0.4149025	0.443514	0.4217415	0.8151265	0.3822235	0.169259	0.169259	0.2043745	0.2048545	0.19278675	0.4483715	0.38709075	0.42339225	0.4483715	0.4302925	0.82669075	0.392478	0.309668	0.326551	0.221528	0.214803	0.199659	0.457134	0.400103	0.444609	0.457134	0.45048	0.852586	0.36916329	0.17440422	0.17227208	0.20187098	0.20215936	0.19018118	0.44254686	0.3804397	0.41597102	0.44254686	0.42235731	0.81465001
