States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	1025	1025	1025	1025	1025	1025	1025	1025	555	1025	751	235	1025	1025	1025	1025	1025	1025	1025	1025	659.5	1025	814.75	335.75	1025	2306	2306	1025	1025	1235	1057	1025	723	1057	832.5	376	1025	2306	2306	1407	1407	1357.75	1082.25	1025	808.5	1082.25	853.5	420	1025	3587	3587	1849	1849	1685	1145	1329	960	1145	1138	580	1025	1908.89	1908.89	1215.68	1215.68	1232.34	1058.58	1038.86	729.47	1058.58	841.33	377.78
20	2025	2025	2025	2679	2679	2560	2115	2025	1348	2115	1656	463	2025	4556	4556	3133.25	3133.25	2952.5	2192	2025	1679.25	2192	1705	662.25	2025	7087	7087	3456	3466.5	3196	2238.5	2025	1774.5	2238.5	1729.5	725.5	2025	7087	7087	3635	3661.75	3448.5	2303.25	2112	1875.75	2303.25	1778.75	794.5	2025	12149	12149	4372	4372	4099	2421	2422	2028	2421	2078	1029	2025	6023.98	6023.98	3422.48	3427.49	3206.19	2244.57	2083.83	1768.19	2244.57	1754.48	735.4
30	3025	6806	6806	4923	4923	4335	3274	3025	2199	3274	2527	628	3025	10587	10587	5713.25	5713.25	5173	3430	3025	2735.25	3430	2589.75	988.25	3025	10587	10587	6054	6054	5441	3494	3039.5	2855	3494	2624	1068.5	3025	10587	10587	6653	6664	5752.25	3552.25	3146.5	2981.5	3552.25	2678.75	1150	3285	14368	14368	7312	7312	6173	3646	3549	3348	3646	2952	1374	3031.97	10776.05	10813.86	6135.91	6136.99	5446.89	3487.26	3101.97	2863.78	3487.26	2648.22	1062.09
40	4025	9056	9056	7585	7585	7015	4491	4025	3348	4491	3381	1137	4025	14087	14087	8772.5	8793.5	7747.25	4697	4025	3880.75	4697	3511	1323	4025	14087	14087	9338.5	9390.5	8078.5	4766	4132	4064	4766	3562	1427	4025	19118	19118	9686.25	9704	8352	4819.25	4275.75	4242.5	4819.25	3661.75	1540.75	4662	24149	24149	11077	11077	9242	4935	4940	4676	4935	3937	1815	4059.2	16250.33	16250.33	9287	9300.72	8053.97	4753.8	4186.21	4064.99	4753.8	3594.95	1443.42
50	5025	11306	17587	10720	10812	9236	5795	5025	4657	5795	4303	1322	5025	17587	17587	12335.25	12317.5	10472	5998.5	5045	5075.75	5998.5	4432.75	1666.75	5025	23868	23868	12810.5	12842.5	10751.5	6040	5157	5261.5	6040	4520.5	1771.5	5368	23868	23868	13355	13384.5	11061	6089.5	5284.25	5451.75	6089.5	4614.25	1898.5	5929	30149	30149	15230	15230	12636	6191	5814	5916	6191	5074	2271	5183.84	21355.6	21544.03	12789.53	12801.61	10761.08	6037.94	5202.76	5282.32	6037.94	4532.63	1765.19
60	6025	7230	13556	14082	14082	12361	7047	6025	5819	7047	5145	1672	6025	28618	26735.25	15776.5	15698	13089.75	7267.75	6136	6333.25	7267.75	5396.5	2068.75	6367	28618	28618	16161	16170.5	13568	7306	6232	6539	7306	5478	2197.5	6507.25	28618	28618	17205.25	17231.75	14042.5	7367	6376.25	6727.75	7367	5571	2336.5	8047	36149	36149	19324	19324	15410	7771	6994	7601	7771	5869	2642	6340.17	27123.85	27262.42	16415.32	16471.41	13598.52	7319.25	6269.87	6541.82	7319.25	5495.71	2189.4
70	7025	15806	15806	18038	18038	15447	8285	7025	7248	8285	6077	1980	7025	33368	33368	19293	19243.5	16207.25	8550	7084.75	7658	8550	6312.25	2472.25	7602	33368	33368	19790	19789	16594	8610	7232	7882.5	8610	6432.5	2575.5	7766.75	33368	33368	21038.5	20998.25	16990.5	8666.5	7365.5	8208.75	8666.5	6530	2721.25	9609	42149	42149	22262	22262	18844	8938	7944	8677	8938	6957	3233	7623.15	34246.1	34246.1	20122.47	20066.98	16621.06	8603.37	7255.54	7936.85	8603.37	6438.43	2576.68
80	8025	8025	28087	21565	21565	18168	9609	8025	8102	9609	7102	2377	8639.75	38118	38118	22484.25	22433.75	19045.25	9836.5	8205	8961.75	9836.5	7296.5	2775	8753	38118	38118	23400.5	23640.5	19545.5	9905	8345	9202	9905	7431.5	2968.5	9233.75	38118	38118	24638.75	24536.25	19992.25	9945	8521.75	9466	9945	7624.25	3154.25	12102	48149	48149	28479	28332	21630	10095	9040	10631	10095	8025	3641	8980.18	39221.41	39522.34	23697.33	23682.33	19573.13	9889.78	8372.08	9227.75	9889.78	7458.98	2967.84
90	9025	20306	31587	25264	25231	21435	10957	9025	9441	10957	7937	2437	9843.75	42868	42868	26440.75	26775	22455.75	11131	9175.75	10306.25	11131	8250	3038.75	10033	42868	42868	28229	28192	22860	11179	9318	10685.5	11179	8392.5	3243.5	11136.5	54149	54149	28758.5	28777.25	23266.75	11218.75	9463	10971.5	11218.75	8511	3418.75	13029	54149	54149	31129	31129	24770	11597	10527	12065	11597	9277	3826	10461.24	45237.01	45011.39	27825.03	27901.32	22821.57	11178.2	9361.16	10655.79	11178.2	8404.09	3233.45
100	10739	22556	22556	28745	28765	23913	12164	10025	10808	12164	9066	2762	11037.25	47618	47618	30907.75	31058.5	25228.5	12414	10231.5	11596.75	12414	9286.25	3518.75	11612	47618	47618	31923	31796.5	25761.5	12453.5	10427	11955.5	12453.5	9414	3725	12445.5	60149	60149	32444.5	32370.75	26380	12483.5	10592.75	12288.25	12483.5	9536.75	3864	15415	60149	60149	35387	35499	27838	12699	11364	13108	12699	9941	4399	11833.96	51126.68	51753.23	31690.24	31667.88	25830.06	12443.72	10443.54	11939.96	12443.72	9423.43	3699.04
