States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	3659	3586	3586	3216	3216	3221	3871	3659	4335	3871	3659	5561	4053	3586	3586	3410.75	3410.75	3459.5	4296.75	4117	5068	4296.75	4129	6162.5	4210	4867	4867	3536.5	3536.5	3592	4468.5	4272	5483	4468.5	4252	6533	4358	4867	4867	3736.25	3736.25	3742	4676.5	4417	5972.5	4676.5	4403.5	6967.5	4611	6148	6148	3993	3993	3962	5587	4997	6903	5587	5345	8385	4200.48	4482.7	4482.7	3575.37	3575.37	3592.03	4476.17	4261.94	5521.44	4476.17	4262.18	6639.5
20	8673	9111	9111	7620	7620	7621	9609	8953	11823	9609	9033	12649	9009.5	9617	9617	8166.75	8166.75	8011.75	10304.75	9232.5	13279	10304.75	9231	14442.5	9111	12148	12148	8504.5	8509.5	8224	10673	9532	13885	10673	9518	15051	9111	12148	12148	8675.5	8695.25	8499.5	11156.25	9802.5	14746	11156.25	9811	15752	9111	17210	17210	9272	9272	9160	13381	12165	17125	13381	10579	18721	9045.04	11105.23	11105.23	8451.54	8456.55	8235.25	10778.5	9574.16	13962.36	10778.5	9538.24	15147.3
30	13403	14367	14367	12498	12498	11896	15993	13611	19909	15993	13615	20403	13611	18148	18148	13265	13265	12734	16751	14289	22215.5	16751	14293.5	22944.5	13611	18148	18148	13615	13615	13009.5	17124.5	14593	22868	17124.5	14610	23716	13611	18148	18148	14254.25	14258	13311	17659.25	15061.5	23831	17659.25	15137.5	24634.5	14273	21929	21929	15128	15128	13734	18699	16491	25135	18699	16203	28509	13631.76	18488.29	18526.1	13710.6	13711.68	13014.02	17201.47	14680.76	22942.08	17201.47	14705.72	23886.52
40	17867	24148	24148	17646	17646	17076	22509	18485	29189	22509	18589	29555	18111	24148	24148	18833.5	18854.5	17855.75	23609.5	19761.5	31906	23609.5	19722	31920	18111	24148	24148	19399.5	19451.5	18139.5	24359	20216	32888	24359	20178	32938	18111	29179	29179	19747.25	19765	18413	25187.5	20823	33634.5	25187.5	20751	34180	19613	34210	34210	21016	21016	19303	28413	22271	36099	28413	22509	36929	18203.52	26462.26	26462.26	19353.72	19367.44	18120.69	24402.2	20271.84	32781.16	24402.2	20222.72	33143.9
50	22611	30148	30148	23281	23373	22127	29536	24179	38165	29536	24221	38499	22611	30148	30148	24897.75	24896.25	23033	30929.5	25478	42052	30929.5	25140	41576	22611	36429	36429	25407	25403.5	23344.5	31723.5	25999	43032	31723.5	25902	42711	23494	36429	36429	26013.5	25945.5	23686.25	32424.75	26650	43854.5	32424.75	26513	44381	25461	42710	42710	29500	29500	25197	34697	27997	48481	34697	28003	49759	23049.82	34469.33	34607.51	25423.9	25423.42	23345.21	31788.93	26031.32	42984.22	31788.93	25892.82	42975.56
60	27111	34341	36148	29143	29143	27422	36424	29473	49983	36424	29677	47253	27111	43679	43679	30849.5	30828	28196.5	38286.5	30921.5	52340.5	38286.5	30942.5	50695	27954	43679	43679	31248.5	31231.5	28645	39157.5	31738	53257	39157.5	31807	51987	28390	43679	43679	32470.75	32466.5	29116	40249.75	32448.5	54639.5	40249.75	32526.5	53728.5	31697	58741	51210	36755	37372	30471	42815	33829	58653	42815	34019	58481	27929.34	43962.17	43980.24	31729.72	31740.01	28702.08	39234.36	31664.52	53466.38	39234.36	31725.32	52262.58
70	31611	42148	42148	35599	35599	33168	44079	34089	60371	44079	34943	57409	31611	50929	50929	36883.5	36821	33810.75	46667.5	36896	63259	46667.5	37026	60433.5	33071	50929	50929	37403	37373	34155	47165	37705	64436	47165	37887	62242	33358.5	59710	59710	38729.5	38604.5	34574.5	48173	38562	65236.5	48173	38600.5	64249.5	37495	59710	59710	43684	43561	36405	51800	40949	70637	51800	40965	71735	33063.48	53124.25	53036.44	37852.71	37812.45	34210.82	47349.96	37684.46	64379.84	47349.96	37759.02	62630.98
80	36111	36111	48148	41626	41626	38229	51994	40545	70579	51994	41055	63053	37648	58179	58179	42593.5	42516.25	39201.25	54084.25	42935	73975.5	54084.25	43081.5	70057	38071	58179	58179	43940.5	43908	39621	54830.5	43653	75104	54830.5	43709	71860	39106.5	68210	68210	44699.75	44620.75	40129	56040.5	44593	76457.5	56040.5	44552	73905.5	45647	78241	78241	52988	52841	41691	59156	47023	79541	59156	47171	79013	38531.46	60666.69	60987.68	44019.07	44021.47	39674.21	55018.82	43745.82	75188.3	55018.82	43824.22	72073.38
90	40611	65429	65429	47825	47792	43996	59036	47411	82555	59036	47071	77045	42809.5	65429	65429	49053.5	49336	45019.75	62283.5	49385.5	85556.5	62283.5	49164	81726	43533	65429	65429	50842	50791.5	45467.5	63384.5	50026	86961	63384.5	50014	82843	45719	76710	76710	51390.25	51378.5	45893	64420.5	50867	88157	64420.5	51147	84625.5	49477	87991	87991	56012	56012	47331	66886	53151	92505	66886	52899	90907	44294.42	70618.26	70505.45	50748.43	50808.73	45429.13	63301.49	50106.32	86862.58	63301.49	50071.42	83351.92
100	47389	72679	72679	53806	53826	48974	66851	53675	92525	66851	53005	87039	48141	72679	72679	56119.25	56127	50302.25	70709.25	55492	95985.5	70709.25	55584.5	91731	50006	85210	85210	57027	56871.5	50893.5	71832	56538	97072	71832	56580	93473	51229	85210	85210	57622.5	57494.5	51700.5	73099.75	57505.5	98857	73099.75	57377	95565	57819	97741	97741	64675	67923	52899	75552	60391	102931	75552	60207	103361	50034.04	80448.22	80799.09	57280.89	57252.16	50969.63	71794.57	56575.92	97336.92	71794.57	56538.4	93854.26
