States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.572383	0.365931	0.365931	0.428786	0.428786	0.409987	0.663484	0.484848	0.542188	0.698492	0.560091	0.787589	0.60811025	0.40368	0.41279325	0.4779395	0.480054	0.4484585	0.70708075	0.54986975	0.61305225	0.75939425	0.62327025	0.88898175	0.626422	0.415831	0.415831	0.496079	0.4974945	0.462319	0.7225865	0.575625	0.638589	0.7860255	0.65081	0.905833	0.64535175	0.443049	0.44804425	0.51131725	0.51612925	0.476903	0.740474	0.60182075	0.65763975	0.80012625	0.69397325	0.92826	0.709091	0.501779	0.501779	0.580153	0.580153	0.518447	0.786364	0.696429	0.711253	0.85396	0.741294	0.96063	0.62779263	0.42595063	0.4287387	0.49429318	0.49595173	0.46316995	0.72282618	0.57853085	0.6362628	0.78026392	0.65537376	0.90623072
20	0.479662	0.334848	0.334848	0.391805	0.391805	0.37403	0.638152	0.467049	0.519189	0.669651	0.553488	0.811778	0.5444045	0.35	0.354839	0.40945325	0.415898	0.3886965	0.68777025	0.51315875	0.56354225	0.72451425	0.60378325	0.87424875	0.5568585	0.362717	0.370204	0.4176385	0.421873	0.396869	0.697346	0.531453	0.5749705	0.742408	0.621688	0.895942	0.56802175	0.38044	0.38044	0.42224375	0.42892275	0.403483	0.7106515	0.54650925	0.58841975	0.754625	0.64684925	0.90568275	0.623142	0.391259	0.425758	0.438838	0.448896	0.418901	0.732408	0.602539	0.631709	0.793633	0.694656	0.933974	0.55672951	0.36495938	0.36824653	0.41661577	0.42179032	0.39677515	0.69687556	0.53071586	0.57577971	0.73974558	0.62552835	0.89096232
30	0.433889	0.31315	0.31315	0.364663	0.367143	0.349611	0.623656	0.457561	0.502815	0.67002	0.55895	0.817019	0.4747175	0.330153	0.330153	0.37882025	0.38422525	0.36153875	0.663378	0.4968965	0.533223	0.70268375	0.5964435	0.86370675	0.490004	0.335922	0.335922	0.384322	0.3902365	0.366926	0.677243	0.507337	0.545251	0.7189565	0.605919	0.883027	0.50166825	0.338883	0.341897	0.38940325	0.39551075	0.372695	0.6900595	0.524104	0.55720725	0.73383275	0.61885	0.89908475	0.562612	0.36989	0.36989	0.40131	0.408817	0.382263	0.713296	0.553629	0.57555	0.764053	0.670567	0.929617	0.49023322	0.3347829	0.33652274	0.38389002	0.38960228	0.36718345	0.67648814	0.50948229	0.54437428	0.71802919	0.60797071	0.88015812
40	0.400146	0.299696	0.299696	0.335966	0.345753	0.329347	0.617935	0.441972	0.492953	0.649254	0.555395	0.819829	0.428584	0.311001	0.31454475	0.35920225	0.363586	0.3444085	0.652793	0.4759125	0.51905975	0.6921335	0.58366425	0.8563065	0.436759	0.317038	0.3221245	0.363454	0.368405	0.349541	0.6649955	0.4882225	0.527308	0.7043615	0.5978595	0.867102	0.447389	0.327182	0.327182	0.36742825	0.37269725	0.35373375	0.6807745	0.502307	0.53717525	0.71553125	0.6108335	0.886645	0.479484	0.335761	0.335761	0.380006	0.390735	0.366787	0.703754	0.532871	0.57751	0.754708	0.649356	0.926254	0.43719452	0.31878419	0.32004624	0.36303524	0.36837408	0.34895559	0.66590166	0.48875164	0.52752446	0.70324054	0.59592592	0.86999212
50	0.372777	0.282564	0.282564	0.326772	0.326772	0.314609	0.609077	0.429272	0.475632	0.658824	0.540992	0.82453	0.39014675	0.3006	0.30171225	0.3452135	0.349027	0.33186825	0.64341425	0.46169675	0.50726125	0.680211	0.572521	0.8543525	0.398092	0.305094	0.306622	0.3481175	0.3532945	0.3358095	0.6555545	0.475368	0.5169545	0.691515	0.583986	0.869333	0.4049835	0.311183	0.315789	0.3517785	0.357318	0.339662	0.6668425	0.490551	0.5265535	0.706927	0.59475825	0.88220375	0.424643	0.327087	0.327087	0.360572	0.362708	0.349239	0.700751	0.525601	0.543565	0.740046	0.615047	0.922334	0.39714036	0.30631992	0.30751799	0.34760347	0.35218765	0.33508801	0.65396307	0.4760441	0.5173059	0.69378758	0.58300385	0.8692124
60	0.33942	0.282877	0.282877	0.323521	0.328538	0.310197	0.609774	0.431089	0.479316	0.647635	0.534731	0.829414	0.3585235	0.294039	0.295221	0.335629	0.3377	0.32397075	0.6439445	0.460015	0.5021985	0.6828395	0.5680175	0.85227025	0.3695735	0.297614	0.297614	0.3380715	0.3417385	0.327745	0.6539415	0.469492	0.508536	0.6917875	0.5812395	0.864894	0.3736065	0.301276	0.301276	0.341128	0.34565875	0.33042525	0.6634505	0.48379275	0.51724775	0.6986845	0.591991	0.88213675	0.384279	0.321545	0.321545	0.348993	0.353616	0.340482	0.685032	0.507256	0.534195	0.727076	0.623971	0.905994	0.3669087	0.29772648	0.2986831	0.33824783	0.34149865	0.32725516	0.65227638	0.47104548	0.50884858	0.69102071	0.57969791	0.86560737
70	0.323455	0.272473	0.272473	0.313078	0.318564	0.30444	0.593214	0.42657	0.473527	0.628638	0.550212	0.836151	0.337889	0.28732725	0.28757525	0.32696725	0.3286925	0.31742375	0.63177525	0.45463875	0.4949175	0.67117525	0.5696275	0.85559825	0.3433685	0.292489	0.29299	0.32972	0.3330675	0.319776	0.642498	0.4642655	0.5040105	0.6861185	0.577074	0.866561	0.34792325	0.295516	0.295516	0.33256325	0.3365135	0.32253725	0.657057	0.476901	0.51204825	0.69545475	0.58677475	0.877985	0.358183	0.311077	0.312161	0.34044	0.343357	0.330578	0.683913	0.517944	0.526849	0.720475	0.608723	0.9122	0.34252555	0.29218963	0.2925886	0.32945511	0.33244602	0.31960362	0.64241457	0.46543893	0.50390589	0.68274446	0.57767033	0.86656971
80	0.307835	0.272776	0.272776	0.309623	0.309354	0.299783	0.588285	0.418173	0.470226	0.643638	0.541167	0.828578	0.3179425	0.28063875	0.281679	0.3185835	0.32196025	0.30963775	0.62479825	0.4469475	0.4903685	0.6644365	0.5657605	0.8617075	0.32239	0.286225	0.287064	0.321002	0.3244275	0.312038	0.636195	0.456374	0.4946105	0.675407	0.572366	0.870532	0.327274	0.288758	0.289612	0.32406825	0.3267725	0.314178	0.65040375	0.4676785	0.50054425	0.684808	0.58053525	0.87955625	0.344971	0.307307	0.307307	0.329312	0.33376	0.321237	0.67441	0.498893	0.515696	0.701817	0.6008	0.905411	0.32273863	0.28516089	0.28599246	0.32118961	0.32403796	0.31177574	0.63637849	0.45725579	0.49487624	0.67496579	0.57299983	0.87029718
90	0.296346	0.266205	0.266205	0.302851	0.304109	0.29483	0.592751	0.413837	0.469938	0.63142	0.539082	0.830605	0.305764	0.27657475	0.277265	0.3139205	0.31669075	0.30478225	0.6259035	0.44489925	0.48648325	0.66445575	0.55965	0.8593685	0.309475	0.281534	0.282256	0.3162605	0.318993	0.307515	0.637266	0.451718	0.492857	0.6755805	0.569343	0.869005	0.31352275	0.28518	0.28592	0.31843225	0.32111275	0.30960575	0.64644625	0.4617375	0.4983265	0.6867005	0.57872975	0.880947	0.321767	0.289681	0.297359	0.323305	0.327465	0.313296	0.664577	0.489564	0.510656	0.710774	0.605627	0.909662	0.30960233	0.2808357	0.28139561	0.31583681	0.3185775	0.3069314	0.63589537	0.45311647	0.49201004	0.67544967	0.56907237	0.86885263
100	0.288322	0.265275	0.265275	0.301558	0.304622	0.292099	0.594692	0.417064	0.469901	0.636627	0.540459	0.82737	0.29725425	0.27222925	0.2732	0.30802375	0.31083275	0.29933125	0.62334325	0.4381205	0.4825495	0.6614755	0.56038325	0.86157125	0.3002335	0.27574	0.277028	0.310209	0.3134615	0.3016665	0.6316245	0.448509	0.487605	0.670455	0.5670605	0.871191	0.30264175	0.281082	0.28173	0.3122285	0.315775	0.30376825	0.64123	0.458667	0.49375475	0.67859125	0.57408825	0.88068875	0.314737	0.287018	0.287018	0.316761	0.320997	0.308648	0.671091	0.483909	0.514359	0.702489	0.587419	0.899478	0.2998137	0.27590863	0.27693087	0.30994414	0.31290044	0.3014641	0.63233979	0.44876841	0.48789547	0.67016122	0.5663775	0.87066769
