States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	9100	18200	18200	12452	12497	15380	9100	9100	8801	9100	8803	3238	9737.5	25025	18200	15131.25	14886.75	17785	9100	9634.25	10527.25	9100	9278.75	4211	10010	27300	27300	16071	16055	19215.5	9100	10686	11034	9100	10232	4691.5	10483	27300	27300	16968	16923	20138.75	9288	11696	11571.5	9288	11124.5	5174.75	12183	36400	36400	18958	18641	23298	10703	14110	12597	10703	13459	7037	10174.15	25662	25116	15994.2	15845.06	19083.2	9206.78	10797.26	11015.12	9206.78	10322.77	4716.94
20	21978	54300	36200	36160	35084	39223	18100	18299	21434	18100	18218	7138	25424.75	54300	54300	38693.75	36929.75	44625.5	18100	20266.75	23811.25	18100	19836.75	9260.5	27153	72400	54300	39629	38182.5	46493.5	18335.5	21703.5	24510	18335.5	20996	9922	28018.75	72400	72400	40637	39588.5	47897.25	18658.5	23649.25	25676.25	18658.5	22675.75	10517.5	33295	90500	90500	44926	44926	53037	23053	26689	27882	23053	25012	12885	26853.31	64617	62264	39708.17	38364.52	46454.38	18704.72	22109.25	24664.22	18704.72	21191.81	9947.07
30	37940	81300	81300	60720	56513	69917	27100	28777	36098	27100	27760	11800	48471.25	108400	108400	63938	60612	74403.25	27460.5	31934	38235.75	27460.5	30400.25	14539	51490	108400	108400	65245	62264.5	75842.5	29009	33562.5	39434.5	29009	31742	15620.5	54308.75	108400	108400	67323.25	64683.5	78879	29654	35453.75	40347.75	29654	33142.75	16815.75	65483	135500	135500	73378	72847	83986	34393	40284	42919	34393	37182	20302	51176.22	112194	109484	65763.25	62801.49	76398.52	28974.74	33667.08	39342.14	28974.74	31887.3	15705.99
40	67724	144400	144400	86335	80868	101599	36100	40259	50083	36100	37955	14824	80846	144400	144400	92497	87757.5	106108.25	38032	44517	53277.5	38032	41441.5	20003.5	85710	144400	144400	94507	90088.5	108334	38819.5	46572	54140.5	38819.5	43067.5	21265	89115.75	180500	180500	96560	92250.75	110502	40601	48701.75	55683	40601	44856.75	22652.25	100566	216600	216600	103156	103156	121359	45666	56705	60275	45666	50989	26370	85075.41	162089	158840	94489.18	90126.89	108628.19	39361.85	46758.31	54495.37	39361.85	43296.14	21339.26
50	110108	180400	180400	116774	111846	134177	45100	52941	63806	45100	50460	19138	122757.5	180400	180400	122707.25	116183.75	139063.25	48106	58048.5	68480.25	48106	53443.25	24301.5	128130	225500	225500	124427.5	119103.5	141555.5	50102	60151.5	69691.5	50102	54953.5	25758	134545	225500	225500	126033	121431	144998	51885.25	62464	71166.25	51885.25	56676.5	27177.25	153138	270600	270600	133890	130829	154054	60093	69598	75961	60093	62341	31111	128879.34	214676	210617	124475.42	119041.3	142336.21	50363	60324.53	69753.6	50363	55174.84	25786.88
60	164054	216400	216400	147673	141344	164792	54534	64531	79551	54534	57512	24552	178589.25	270500	270500	153247.5	147553.5	173025	58546.5	69739	83991.25	58546.5	62681	29349	185494	270500	270500	155571.5	149733.5	175664	60020.5	72584	85252	60020.5	64928	30679.5	199329.5	270500	270500	158069.25	153232.25	178754.25	61849.5	75543.25	86665.5	61849.5	68153	32766.25	230436	324600	324600	163333	161637	186740	72736	87882	93448	72736	74274	38600	188474.85	274828	269959	155475.77	150230.78	175982.4	60555.24	72842.02	85356.88	60555.24	65326.15	30918.96
70	230203	252400	252400	182758	170044	201512	64366	79018	96033	64366	68519	28990	253287.75	315500	315500	185993	178746.25	207749.25	68979.75	83047	99163.75	68979.75	74727.5	34032.75	263650.5	315500	315500	187533	181190.5	210732.5	72171	85455	100833.5	72171	76158.5	35554.5	275455	378600	315500	189572.5	185601.5	215047	75433.25	89396.25	102976.75	75433.25	78494.5	37528	310363	378600	378600	195121	194314	225323	82933	101306	109183	82933	86941	43198	264413.52	326227	323703	187880.46	181749.25	211254.37	72692.05	86386.09	101150.34	72692.05	76436.98	35826.76
80	288323	288400	288400	213549	203925	236463	74934	88946	108900	74934	80772	33741	349702	360500	360500	218160	209966.25	244540.75	80697	97392.5	115744.25	80697	85874	37033	361720	360500	360500	220645.5	213259	246911	83786	100907	117369.5	83786	87779.5	38829.5	375986.25	432600	432600	223108.75	216038.25	252017.25	86278.25	104106	118837.5	86278.25	90085.25	41714.25	402562	432600	432600	233908	226807	268487	98373	114620	124490	98373	97036	47014	361077.88	385014	378525	220644.73	213633.57	248036.02	83670.2	101123.81	117261.58	83670.2	88059.09	39543.71
90	420372	405500	324400	245442	234894	268761	85499	107789	125802	85499	90093	38090	450775	405500	405500	250546.5	242089.5	280779	90043.75	113361.25	131818.75	90043.75	95724.75	42324	466063	405500	405500	253653.5	245551.5	284859	93211.5	115882.5	133905	93211.5	99592	44677.5	487251.25	486600	486600	256622.75	248451.75	287474.5	96637	120440.5	135949.75	96637	102511.5	47541.5	533254	567700	567700	265381	260930	305798	110051	127993	143609	110051	111206	57715	468834.94	443617	438751	253651.81	245666.44	284355.92	93696.41	116559.47	133626.54	93696.41	99403.19	45130.11
100	502615	450500	450500	279443	266956	308794	93222	120826	142053	93222	102946	39114	558719.5	450500	450500	285631.75	273164.25	318393.5	101386.75	128247	147020.5	101386.75	107942.75	46578.75	572140	540600	450500	287722	276410	321839.5	104650	131156	149663.5	104650	110254.5	50555	589571	540600	540600	290829.25	283200.5	326855.25	107964	134568.75	152068	107964	112952.5	53698.25	661281	630700	630700	297699	292815	337274	116079	148500	156004	116079	120209	61036	574733.38	506362	495550	288248.31	277838.31	322462.39	104502.8	131392.79	149621.41	104502.8	110746.61	50304.9
