States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.010674	0.01564	0.015811	0.01275	0.011829	0.013857	0.009286	0.016426	0.186537	0.078045	0.312764	3.242291	0.0121985	0.02130325	0.01749525	0.01459625	0.01415175	0.01632925	0.01078575	0.01860575	0.30715575	0.11827425	0.657067	3.9729115	0.0126295	0.0235815	0.024625	0.015596	0.014932	0.01755	0.0112395	0.019617	0.3427785	0.1343345	0.880053	4.590131	0.01328225	0.02410225	0.025194	0.0167125	0.01579275	0.01835775	0.01180525	0.0208975	0.38203125	0.15446975	1.13318475	5.1601345	0.014612	0.031883	0.033164	0.01909	0.017667	0.021545	0.013405	0.025519	0.512254	0.203209	2.154141	6.885968	0.01267448	0.02245318	0.02298736	0.01566165	0.01490792	0.01744852	0.01134288	0.01982167	0.34396072	0.13622674	0.90959115	4.63693976
20	0.034866	0.049678	0.038527	0.037174	0.035677	0.039771	0.023892	0.048211	0.605562	0.224144	1.616048	13.619918	0.03831325	0.05388075	0.05524175	0.041185	0.038202	0.0436705	0.025909	0.0528315	0.89918525	0.29588375	3.009679	20.61027625	0.0393945	0.065555	0.0579525	0.043217	0.0396675	0.0456195	0.026982	0.0554705	1.003532	0.345075	3.7757945	23.3092975	0.040888	0.07014075	0.0726705	0.04481075	0.04082225	0.0477315	0.027765	0.05854325	1.07691775	0.38218175	4.6550965	27.17165275	0.04607	0.08652	0.090961	0.050037	0.047189	0.055839	0.031769	0.066082	1.389188	0.498679	7.139514	50.014481	0.03955994	0.0628424	0.06340359	0.0432333	0.03959217	0.04578256	0.02705225	0.0559016	0.98833717	0.34596291	3.91701612	24.43446165
30	0.067899	0.084177	0.085553	0.068202	0.063705	0.072043	0.042396	0.095797	1.291649	0.380285	4.51311	49.027684	0.0779705	0.11000375	0.112583	0.07533175	0.06746975	0.07698875	0.0468725	0.10360375	1.519351	0.521888	6.659985	67.29084175	0.081831	0.1140735	0.117285	0.078435	0.0704645	0.078862	0.0489335	0.108076	1.6305445	0.5937945	9.3001805	77.6788995	0.08518125	0.11944	0.122206	0.0834325	0.0728605	0.08168925	0.051179	0.11264975	1.8088365	0.65851025	11.92641925	95.911696	0.098702	0.147315	0.153524	0.0944	0.081539	0.092305	0.06802	0.126877	2.505573	1.008705	19.367167	139.060855	0.08236232	0.11693456	0.11849267	0.0793643	0.07044847	0.07950809	0.0492952	0.10875741	1.6796305	0.5934262	9.70189724	82.40142187
40	0.103964	0.128772	0.134673	0.089565	0.079634	0.099172	0.053385	0.137042	1.876942	0.620572	9.010062	53.191467	0.121072	0.14650925	0.14665925	0.10276825	0.09255525	0.1095695	0.06016425	0.15830025	2.191273	0.73087825	12.449074	91.527419	0.1247355	0.156491	0.151566	0.1060075	0.09473	0.1126355	0.061683	0.163414	2.301413	0.8062125	15.3865165	104.2377205	0.12902525	0.180175	0.1818335	0.10866725	0.0978755	0.114767	0.0638955	0.16890475	2.49882775	0.8794355	20.0360625	124.5923625	0.139806	0.213658	0.21621	0.125698	0.104223	0.130138	0.072414	0.183366	3.835502	1.099159	41.766133	199.834684	0.12430736	0.16285667	0.16203597	0.10562753	0.09471031	0.11243875	0.06205732	0.16301723	2.38957003	0.80674244	17.10585502	108.6363375
50	0.172416	0.18031	0.175037	0.127462	0.11894	0.13604	0.072768	0.213681	2.51875	0.721386	11.718277	84.557733	0.17945975	0.19780875	0.18645425	0.1358635	0.12347125	0.14054725	0.07583025	0.22343675	2.8556075	0.97694725	16.704451	128.0835045	0.182762	0.2268055	0.2256195	0.1403775	0.12583	0.1437005	0.078292	0.2287165	3.02506	1.0954685	19.4666235	145.3754325	0.1870055	0.229703	0.2301915	0.1427745	0.128508	0.1466705	0.08043375	0.23470425	3.1403405	1.18572525	21.58793525	163.4191408	0.19687	0.269173	0.276653	0.151453	0.136015	0.158084	0.092479	0.257513	3.592824	1.493824	45.661974	239.471328	0.18307163	0.21914429	0.21465542	0.13953787	0.12623074	0.14400717	0.07852473	0.22967342	3.02031682	1.09490423	20.26490211	147.659181
60	0.244287	0.22838	0.211332	0.161608	0.151981	0.167209	0.092867	0.294437	3.222919	1.03855	17.766038	147.335362	0.26300975	0.28265775	0.27425425	0.1755535	0.159711	0.176653	0.09952025	0.31269175	3.555908	1.28493275	23.57135625	193.1111885	0.2681725	0.286564	0.2776115	0.179156	0.1628595	0.1797055	0.101739	0.3207295	3.7283455	1.388618	27.7593255	211.9165725	0.27805175	0.29247775	0.28183975	0.182366	0.165937	0.18392925	0.10440225	0.32782	3.89620425	1.5299365	33.58962325	242.709502	0.297694	0.344044	0.338484	0.194098	0.173558	0.192745	0.11882	0.352347	4.439672	1.984108	67.252244	329.84724	0.27043814	0.28988971	0.27732145	0.17901853	0.16280481	0.18003545	0.10209939	0.32084191	3.75617004	1.40712415	30.32929034	219.2998717
70	0.329128	0.28638	0.258266	0.200147	0.187568	0.204088	0.113556	0.408595	4.210856	1.375715	24.686721	249.659855	0.369942	0.345548	0.32760675	0.2171535	0.19881425	0.21630775	0.11994575	0.42753475	4.54573175	1.66137525	40.31795525	354.0385998	0.383975	0.368227	0.341468	0.227816	0.204682	0.2237895	0.124977	0.443537	4.7826375	1.784259	55.56427	407.398076	0.398578	0.40347525	0.38135975	0.23748075	0.214259	0.234679	0.12969	0.4687395	5.16075975	1.908404	82.31780825	467.674826	0.469	0.472316	0.449149	0.275309	0.244234	0.270475	0.16323	0.515141	7.30766	2.50872	157.428918	848.197944	0.38586954	0.37424517	0.35155685	0.22951372	0.20751213	0.22598758	0.1257576	0.44844219	4.96668368	1.81129119	65.25955071	427.4828321
80	0.429161	0.358076	0.307716	0.24196	0.226393	0.248687	0.125205	0.508564	4.93041	1.415163	39.207298	378.049878	0.479119	0.4172905	0.38032275	0.2595935	0.23577275	0.25966425	0.138352	0.53344425	5.3799645	1.8461175	58.7393095	510.8091755	0.5004745	0.437115	0.394328	0.2658605	0.24398	0.263848	0.1428265	0.5457735	5.539921	1.998902	81.7369185	560.800434	0.523316	0.4842595	0.447265	0.276304	0.248694	0.27049325	0.14694325	0.5588235	5.75265675	2.23047475	109.3046348	656.455602	0.589102	0.575141	0.535805	0.319983	0.287614	0.316268	0.194418	0.599971	8.386507	2.740384	263.930031	945.153458	0.50005833	0.4496395	0.4091181	0.26848719	0.24462127	0.26694607	0.1437909	0.54729432	5.70183343	2.04917201	87.17646769	582.3778208
90	0.567126	0.474219	0.418185	0.283053	0.265797	0.288576	0.150959	0.621823	5.556369	1.905574	62.539926	524.443948	0.6186515	0.50764725	0.45259925	0.3108825	0.280552	0.3062535	0.1618205	0.65890575	6.3902085	2.26876575	103.6840825	739.5195878	0.6636125	0.5803895	0.516564	0.326142	0.294282	0.317782	0.169781	0.685052	6.890484	2.4090425	143.104672	831.7794065	0.71250125	0.624931	0.54675275	0.36247975	0.32693175	0.35791675	0.18967275	0.7163245	9.28764275	2.5688375	194.8880168	1007.298942	1.503391	1.184765	1.047607	0.739795	0.684369	0.742836	0.389308	1.49387	18.347864	3.175257	379.553536	1689.674843	0.67660706	0.58640537	0.52211894	0.33774118	0.30648659	0.33352674	0.1772081	0.69676519	7.79827657	2.4101558	158.2590004	880.3690045
100	0.685233	0.547069	0.468803	0.32024	0.301933	0.323026	0.168951	0.750613	6.460109	2.037956	86.299778	741.981155	0.8062055	0.64314675	0.5702855	0.36295075	0.33935725	0.3679955	0.19275025	0.82383225	7.98245875	2.48349175	170.79503	1050.943017	0.866073	0.7041905	0.592711	0.4076185	0.368848	0.4048635	0.21085	0.8489965	10.491647	2.6730955	249.099375	1284.63122	0.89812775	0.77714825	0.6841615	0.4248965	0.38433975	0.416774	0.223755	0.87463025	11.14367875	2.86810125	300.9469605	1584.138219	1.787881	1.83373	1.431471	0.480128	0.636315	0.677687	0.250705	1.205733	12.308313	3.39445	426.620059	2515.291759	0.85892409	0.7190635	0.62075211	0.3995062	0.36210268	0.3960669	0.20860912	0.8506582	9.80108387	2.6742183	240.201325	1327.69424
