States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	507	665	665	528	528	582	589	545	692	624	548	749	591	818.75	665	591.5	589	658.25	655.75	644	773.5	681	654.5	835	622.5	870	870	612.5	609	680	677	672	806	715	674.5	889.5	655.75	870	870	631.25	627.25	707.25	728.25	700	844	765	707.25	974.25	749	1075	1075	703	684	814	862	860	961	890	793	1062	624.82	825.72	820.8	611.13	608.68	685.78	691.68	673.91	812.32	722.88	676.21	903.19
20	1400	1720	1720	1312	1308	1388	1409	1366	1654	1457	1389	1780	1575.25	1720	1720	1360	1347	1498.75	1518.25	1470.25	1772.75	1560	1483.75	2024.75	1644	2125	2125	1393.5	1372.5	1534.5	1567	1507.5	1820	1624.5	1516	2098	1707.5	2125	2125	1416.75	1395.25	1579.75	1633.25	1558.25	1876	1693.25	1557	2205.25	1912	2530	2530	1484	1484	1708	1898	1709	2071	1964	1694	2634	1652.73	1949.23	1951.66	1391.77	1374.9	1535.45	1580.14	1516.63	1829.17	1636.69	1523.31	2121.41
30	2502	2570	2570	2081	2026	2287	2281	2257	2688	2334	2244	2890	2780	3175	3175	2181	2124	2407.25	2421.25	2371.75	2842.5	2491.25	2385.5	3226.5	2888.5	3175	3175	2226.5	2166	2445	2487.5	2418.5	2919.5	2566.5	2433.5	3392.5	3013.75	3205.25	3175	2259	2238.25	2490.25	2562.25	2469.25	2979.5	2650	2484.25	3586.25	3284	3780	3780	2352	2386	2595	2913	2644	3107	3073	2685	4011	2887.38	3289.95	3287.53	2219.54	2178.14	2448.59	2505.67	2423.74	2907.65	2584.69	2439.19	3417.66
40	3853	4225	4225	2915	2824	3204	3216	3127	3737	3275	3152	4098	4246.25	4225	4225	3070.75	3000.75	3356	3393.75	3317.25	3974.5	3473.75	3329.5	4645.5	4425.5	4225	4225	3118	3058	3417	3469.5	3377	4082	3569	3385.5	4804.5	4584.5	5030	5030	3161.25	3109.25	3480.25	3553.5	3439.75	4166	3651.25	3441.25	4996.75	5038	5835	5191	3292	3240	3758	3844	3762	4532	3963	3683	6060	4428.88	4621.06	4575.98	3117.51	3057.18	3421.92	3473.84	3381.96	4080.59	3573.39	3396.63	4826.99
50	5684	5275	5275	3797	3706	4193	4222	4108	5006	4339	4136	5476	6083.75	5476	6079	3994.25	3894.5	4353.75	4432.5	4323.75	5163	4549.75	4311.5	5979	6323	6280	6280	4051.5	3961	4419	4513	4365	5255	4654.5	4371	6215.5	6679.5	6280	6280	4104.75	4038	4477.75	4614.75	4436.75	5356.25	4739	4432.25	6457.75	7216	7486	7486	4345	4313	4720	5143	4685	5647	5336	4656	7130	6384.43	6076.99	6101.11	4047.64	3960.32	4416.05	4524.28	4382.28	5262.06	4664.25	4377.2	6222.5
60	7800	6325	6325	4789	4669	5184	5287	5129	6224	5424	5122	6879	8536.5	7530	7530	4958.75	4854.75	5357.5	5477.75	5294.5	6372.75	5643.5	5302.5	7316.75	8786.5	7530	7530	5029.5	4914	5423	5578.5	5355.5	6473.5	5724.5	5378	7607	9110.25	7771	7771	5081.25	5012	5504	5651.75	5446	6570.5	5844.25	5431.5	7811.75	9784	8976	9940	5220	5146	5729	6104	5678	6962	6292	5733	8736	8789.71	7575.79	7633.63	5023.59	4927.43	5436.15	5583.53	5368.76	6476.81	5751.89	5376.63	7601.61
70	9743	7375	7375	5799	5636	6249	6126	6097	7373	6272	6159	8224	11107.5	8780	8780	5931	5842.5	6419.75	6484.5	6331.25	7629	6659.75	6331.5	8820.75	11529.5	8780	8780	5984.5	5903.5	6511.5	6607	6406.5	7759	6781.5	6416.5	8999.5	11935.75	9061	10185	6075.75	5990.25	6605.25	6723.25	6496.75	7883.25	6973.25	6500.5	9350.75	12814	12152	11871	6313	6169	6854	7182	6810	8194	7368	6784	10584	11482.53	9061	9176.21	6009.09	5912.36	6513.48	6626.23	6413.52	7758.45	6815.58	6417.4	9080.66
80	12225	8425	8425	6671	6540	7215	7347	7188	8486	7512	7183	9819	13706.25	10030	10030	6921	6773	7454	7604.25	7361	8865.5	7778	7411	10274.75	14204	10030	10030	6992.5	6892.5	7509.5	7716.5	7470	8948.5	7941	7505.5	10649	14715.75	11635	11635	7100.25	6971	7584.5	7847.75	7618.25	9060	8074.25	7613.25	10923.5	15839	13240	13240	7275	7280	7914	8373	7867	9338	8698	7821	11683	14172.5	10553.23	10694.47	7002.77	6880.11	7519.99	7746.89	7486.77	8961.34	7964.14	7503.05	10629.17
90	14733	9836	11280	7732	7538	8306	8414	8174	9713	8571	8189	10873	16172.75	11280	11280	7944.25	7787.75	8494.25	8648.75	8388	10075.75	8863.75	8415	11809.5	16700	11821.5	11641	8026.5	7866	8575	8779	8493.5	10191	9023.5	8506.5	12090.5	17075	13085	13085	8096	7971.5	8685.5	8974.5	8626.5	10336.25	9219.5	8626.75	12407.75	18951	14890	14890	8390	8272	8953	9765	8842	10715	9976	8929	13662	16634.19	12233.04	12254.7	8020.06	7879.56	8585.5	8827.87	8502.47	10210.46	9066.1	8521.19	12128.73
100	16333	12530	10525	8760	8507	9421	9419	9313	11039	9735	9348	12318	18753	12530	12530	8952	8720	9618	9817.75	9467.75	11421.5	10065.75	9504.75	13266.25	19225.5	14535	14535	9065	8873.5	9704.5	9962.5	9598	11528	10203	9595.5	13660.5	20098.25	14535	14535	9179	9012.75	9797.25	10092.5	9728	11654.5	10399.5	9716.25	13877.25	21832	16941	16540	9505	9407	10022	10753	10154	12088	11044	9960	15040	19377.73	13957.56	13857.31	9073.77	8875.28	9704.03	9986.54	9611.15	11546.24	10258.91	9612.89	13621.56
