States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	1050	1840	1840	1273	1273	1535	1083	1033	1153	1083	973	945	1242.75	2093.75	2000	1588.25	1578.5	1886.5	1167.5	1268	1323.75	1167.5	1197	1056.5	1351	2880	2820	1677	1670.5	1998	1213.5	1372	1420	1213.5	1253.5	1104.5	1509.75	2940	2940	1760.25	1754.5	2165.75	1298	1473.25	1527.25	1298	1338.75	1157	1789	4160	4160	2216	2178	2777	1819	2012	1993	1819	1592	1396	1364.33	2676.55	2652.95	1678.71	1667.05	2031.62	1235.67	1380.17	1446.36	1235.67	1268.93	1109.34
20	3060	4705	4545	4113	4100	4468	2589	2854	2887	2589	2634	2330	4039.75	6270	6270	4409.75	4323.25	5069.5	2766	3206	3368.75	2766	2853.5	2522.75	4359	6972	6908	4555.5	4466	5330.5	2914	3342	3499	2914	2970	2595.5	4650.5	8280	8280	4735.5	4582.5	5576.75	3089.75	3562.75	3685.25	3089.75	3083.5	2709.25	5747	11050	11050	5279	5279	6268	3341	4088	4146	3341	3479	2973	4361.76	7353.03	7367.41	4579.29	4492.09	5323.6	2924.51	3405.07	3517.57	2924.51	2981.92	2619.01
30	6623	7997	7777	7147	6834	8162	4204	5123	5215	4204	4366	3877	8247.25	12960	12960	7666.25	7407.5	8810.25	4524.75	5497.75	5649.5	4524.75	4638.5	4104	8956.5	13120	13120	7942	7630.5	9174.5	4715	5737.5	5841	4715	4837	4214.5	9527.5	13700	13771.25	8118.5	8056.5	9410.75	4898	6067.5	6111.75	4898	5026	4348	11306	16700	16700	9107	8593	10232	6027	6798	6957	6027	5616	5105	8890	13417.32	13403.8	7916.37	7690.66	9157.74	4761.15	5787.19	5890.89	4761.15	4858.9	4255.33
40	12048	14155	14155	10736	10090	12167	5926	7080	7485	5926	6038	5479	14427.5	17960	17960	11528	11192	13103.25	6443.25	7985.75	8224	6443.25	6671	5798.25	15315.5	18520	18442.5	11863.5	11500	13514	6623	8326	8547	6623	6817.5	5931	16409	22450	22350	12083	11838.5	13920.75	6898.5	8658	8854	6898.5	7083.5	6082.5	18741	24050	24050	13156	12898	15909	8110	9701	10428	8110	8158	6811	15364.39	19620.09	19406.1	11838.6	11500.91	13550.91	6711.09	8320.2	8565.43	6711.09	6882.24	5970.5
50	19816	15882	18105	14563	13737	16833	7952	9785	10247	7952	8125	7191	22291.25	23440	23660	15666	15113.25	17668	8522	10670.5	10936	8522	8722.25	7627.75	23710.5	28300	28250	16085.5	15520.5	18182.5	8888.5	10949.5	11218	8888.5	8977	7824.5	25375.5	29100	29025	16448.5	15960	18561.25	9109.75	11334.5	11601.25	9109.75	9177.75	8014.25	28220	32586	32586	17310	17077	19850	10212	12504	12644	10212	10120	8655	23899.87	26202.24	26397.2	16034.6	15531.5	18158.02	8849.98	11010.92	11297.86	8849.98	8969.44	7824.07
60	30162	22355	22355	18888	18428	21290	10074	12124	12614	10074	10034	9047	33376.25	29405	29245	20202.25	19431	22502.75	10651.25	13291.5	13739	10651.25	10697	9494	34959	34650	35000	20485.5	20004.5	22918.5	10870.5	13724.5	14028.5	10870.5	10984	9693.5	36387.5	35675	36178.75	21008.5	20484.25	23417.75	11330.5	14205.5	14467	11330.5	11389.25	9894	42492	39694	44110	22496	22280	25247	12247	15534	15856	12247	12259	10667	34948.68	32514.5	33083.74	20573.76	19982.63	22999.89	10997.66	13760.12	14109.88	10997.66	11022.34	9694.34
70	38605	27837	26845	23764	22532	26564	11684	14816	15568	11684	12013	10645	45550	35609	36664	24681.25	24081.75	27612	12629.5	16063.25	16613.5	12629.5	12798.75	11218.5	48038.5	41400	41650	25150	24541.5	28171.5	13043.5	16532	17082.5	13043.5	13153.5	11516.5	49849.5	42305	42728.75	25522.25	25053	28704.5	13463.5	16972	17479.5	13463.5	13582.25	11728.75	54039	49143	56171	27674	26102	30461	15493	18085	19427	15493	14323	12957	47534.33	39174.53	40500.47	25183.95	24569.68	28187.36	13072.91	16510.25	17105.13	13072.91	13192.62	11506.65
80	50015	32160	39160	27805	27389	31268	13887	17820	18544	13887	14241	12640	57310.75	40905	41708.75	29560.5	28574.75	32599	14849.25	19079.75	19575.75	14849.25	15160.5	13121.75	59538	47914.5	48800	30139	29159	33286.5	15368	19618	20200.5	15368	15575.5	13481	62617.25	49476.25	50080	30681	29883.25	33763.5	15919	20182.25	20751.25	15919	15994.25	13839	69110	60270	62670	32036	31567	35189	17279	22007	22484	17279	16818	14421	60029.35	45064.76	47302.93	30090.5	29265.51	33229.13	15409.88	19667.96	20209.21	15409.88	15582.56	13497.67
90	58493	28426	36910	33217	32465	36437	15965	20347	21453	15965	16131	14414	68280.25	47829	48484.25	34585.5	33514.5	37849.75	17078	21716.75	22595.5	17078	17185.5	15069	71567	55050	56050	34995.5	34098	38589.5	17545	22263.5	23191.5	17545	17761.5	15426.5	74295.75	56905	57005	35644.75	34711.5	39193.25	18019.5	22981.75	23658.5	18019.5	18107.5	15674.75	86066	70090	70810	37174	36951	40942	19669	24984	25171	19669	18952	17017	71518.43	52555.55	54291.97	35103.98	34192.66	38574.18	17566.26	22381.45	23190.29	17566.26	17683.81	15373.69
100	68226	40700	49480	38608	36699	41693	18406	23506	24585	18406	18519	16422	79437.5	54129.25	61700	39511.75	38103.75	43674.25	19401.25	24752	25914.5	19401.25	19484.5	17086.75	84694	62050	63355	40222.5	39107	44164	19880	25477.5	26433	19880	19982.5	17321	88337	63880	64955	41017.25	39884.5	44795.5	20556.25	26281.25	27026.5	20556.25	20485.25	17707.5	97334	78110	80150	43606	42280	46733	22275	27967	28174	22275	21554	18803	84126.52	59378.34	62548.49	40356.63	39089.49	44262.17	19981	25489.48	26451.39	19981	19984.75	17409.33
