States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	91	91	91	91	91	91	91	91	55	50	87	10	91	192	166.75	91	91	103.5	91	91	70	62	91	21.75	91	192	192	106	98.5	111	91	100	78	67	93	26	91	192	192	112	112	125	91	107.25	85	72	102.25	31.25	98	293	293	132	134	153	95	139	114	90	128	42	91.09	172.81	171.8	102.37	102.49	112.04	91.43	102.04	77.5	67.16	97.36	26.44
20	181	382	382	205	205	241	181	204	159	112	177	39	181	532.75	583	254	254.75	276.75	181	224.75	189	137	194.5	51	181	583	583	271	272	300	183	239	203	144	204	59	191.5	583	583	292.25	292	322.5	184	253	215	151	219.25	67	220	784	784	373	371	399	207	293	254	169	247	101	187.2	558.88	558.88	274.14	273.49	301.97	183.38	240.16	202.91	144.18	206.51	60.69
30	271	572	572	350	361	407	271	312	277	199	274	54	289	873	873	446.75	455	478	272	366.75	319.75	215.75	302	85	303.5	873	873	471.5	480	508.5	273	385	337	223	314	89.5	320.25	1174	1174	501	509.75	533.25	275	402	360.5	232	328.5	102	397	1475	1475	618	624	630	298	443	400	254	371	144	306.22	972.33	972.33	475.55	482.49	508.41	274.83	384.44	340.09	223.59	316.12	93.39
40	381	1163	1163	624	615	647	361	468	413	273	368	91	436	1163	1163	684.75	696.5	710.75	364	522.5	462.75	294	409.75	123	458.5	1564	1564	705	719	742.5	366	542.5	484	306	431.5	136	503.5	1564	1564	744.75	769	787	381	561	510	315	450.25	146.25	639	1965	1965	859	882	902	413	618	562	351	529	188	466.64	1463.75	1443.7	714.52	729.63	749.58	372.03	543.47	485.42	305.97	432.75	135.14
50	516	1453	1453	854	897	871	451	627	545	350	469	114	606	1954	1828.75	934.75	948	950.75	455	675.25	614	372.75	523.75	155	638	1954	1954	962.5	990	984.5	459	700	633	388	545.5	168	695	1954	1954	999	1025	1012.5	471.25	726.25	652.25	398.5	564.25	184	807	2455	2455	1093	1136	1171	573	772	743	444	616	230	652.11	1878.85	1868.83	967.54	990.11	985.66	465.95	700.11	633.19	387.63	545.59	169.06
60	694	1743	1743	1119	1133	1154	541	779	705	417	588	146	812.25	2344	2344	1197.75	1235	1212	547	831	766.75	457	648.75	183	876.5	2344	2344	1224	1278.5	1242	560	854	788	470	668	207	941.25	2344	2344	1270	1315.5	1271.75	569.25	879	821	487.25	693	224	1142	2945	2945	1382	1412	1405	629	990	891	553	734	290	880.45	2434.15	2398.09	1236.16	1278	1245.89	562.9	857.75	794.85	472.95	669.01	204.91
70	857	2033	2033	1386	1405	1380	631	914	856	511	701	173	1067	2734	2734	1461.5	1500	1459.75	639	987.5	928	538.5	761.5	214.75	1129.5	2734	2734	1505.5	1544	1508.5	656	1017	953.5	559.5	785	231	1203.25	3435	2734	1534	1585	1552	672	1043.25	976.5	574	812.25	250	1438	3435	4136	1694	1714	1719	771	1136	1057	634	882	293	1135.64	2951.31	2874.2	1508	1543.9	1510.85	663.72	1018.42	953.8	560.12	785.45	232.5
80	1110	3124	3124	1671	1692	1626	723	1042	983	598	805	193	1323	3124	3124	1765	1799.75	1738.75	734	1143.5	1089.25	628.75	878.75	240	1395	3124	3124	1800.5	1846	1771.5	750	1171.5	1119.5	643.5	900.5	261	1496	3925	3925	1839.75	1904.5	1824.25	771	1210.25	1150.25	662.25	926	284.5	1885	4726	4726	1960	1998	1969	940	1295	1223	706	974	336	1405.99	3524.5	3476.44	1804.92	1848.91	1781.62	758.5	1174.46	1119.86	645.71	900.82	263.01
90	1237	3514	3514	1962	1925	1922	814	1229	1155	645	902	225	1596.5	3514	3514	2033	2103	2029.75	833.5	1304	1253.75	705.75	1004.75	270.25	1683	4415	3964.5	2106	2154.5	2067.5	843.5	1343	1288	726.5	1029.5	289.5	1810.5	4415	4415	2138.5	2232	2100	869.25	1390	1323.25	740.5	1068.25	304	2145	5316	5316	2271	2382	2216	1007	1485	1379	786	1142	373	1701.8	4000.54	3973.51	2096.91	2158.93	2064.11	857.07	1343.45	1288.12	725.21	1032.03	289.44
100	1622	3904	3904	2221	2223	2158	907	1350	1350	751	1041	251	1900.5	3904	3904	2348.25	2394	2281.5	931	1471.5	1427.5	794.75	1108.75	304	2005	4905	4905	2419.5	2463.5	2346.5	949.5	1510.5	1458	813.5	1136	326.5	2108.5	4905	4905	2470.25	2523.25	2395.25	970.5	1553.25	1492.25	829.25	1167.25	344	2692	5906	5906	2703	2667	2545	1046	1669	1588	875	1262	412	2012.66	4564.66	4594.69	2414.18	2456.77	2341.55	955.66	1514.05	1461.02	812.69	1140.01	325
