States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.00021	0.000178	0.000185	0.000148	0.000146	0.000157	0.000169	0.000154	0.000183	0.000171	0.000242	0.000756	0.000231	0.00026075	0.0002545	0.000165	0.000158	0.00017875	0.000175	0.000167	0.000203	0.000181	0.000262	0.0008895	0.0002375	0.000271	0.0002845	0.0001775	0.0001685	0.000189	0.000181	0.000178	0.00022	0.000186	0.000279	0.0009695	0.000245	0.000278	0.00029025	0.00018725	0.00018125	0.0002005	0.000188	0.0001885	0.000235	0.000194	0.0002945	0.001052	0.00027	0.000374	0.000389	0.000218	0.000236	0.000243	0.000208	0.000213	0.000276	0.000224	0.000348	0.001524	0.00023803	0.00025754	0.00027031	0.00017682	0.0001706	0.00018921	0.00018241	0.00017817	0.00022038	0.0001885	0.00027956	0.00098849
20	0.000548	0.000537	0.000571	0.000426	0.000408	0.000397	0.000506	0.000405	0.000483	0.000511	0.000643	0.002898	0.000592	0.00070675	0.0007505	0.0004735	0.0004695	0.00044	0.000545	0.0004365	0.0005435	0.000551	0.0007165	0.00335875	0.0006115	0.000727	0.000773	0.0004895	0.000493	0.0004585	0.000558	0.000463	0.000573	0.0005695	0.000743	0.0035785	0.00063925	0.00079875	0.00079675	0.00052	0.0005245	0.000483	0.000577	0.00049425	0.00060025	0.000586	0.00078475	0.00372675	0.000712	0.001555	0.001015	0.000583	0.001017	0.000548	0.000642	0.001219	0.000715	0.000633	0.000912	0.004534	0.00061605	0.00075476	0.00075898	0.00049553	0.00051197	0.00046224	0.00056205	0.00051154	0.00057571	0.00056957	0.00075023	0.00357474
30	0.001079	0.000915	0.000972	0.000826	0.000832	0.000706	0.000902	0.000734	0.000837	0.000908	0.001168	0.006142	0.0011915	0.00119625	0.00129725	0.000926	0.00093275	0.00077375	0.00096375	0.000793	0.00092875	0.00097375	0.001336	0.0070635	0.001234	0.001263	0.001359	0.0009625	0.000973	0.000799	0.000993	0.0008185	0.000967	0.001009	0.0013755	0.0073505	0.00128375	0.0015085	0.00159275	0.00100075	0.00101725	0.00082925	0.00101925	0.00085075	0.001015	0.00103425	0.00143875	0.00777925	0.001575	0.00318	0.003589	0.001132	0.001139	0.000958	0.001129	0.000998	0.001222	0.001116	0.001754	0.009572	0.00124516	0.00141492	0.00147557	0.00096795	0.00098011	0.00080516	0.0009961	0.00082795	0.00097776	0.0010077	0.00139379	0.00747215
40	0.001946	0.00171	0.001819	0.001426	0.001452	0.001101	0.001464	0.001212	0.001367	0.001486	0.002002	0.011437	0.002106	0.001807	0.00197575	0.00152425	0.001542	0.00118025	0.001539	0.001319	0.001476	0.0015705	0.00218775	0.012879	0.002188	0.002172	0.002321	0.0015775	0.001605	0.0012235	0.001576	0.00136	0.00154	0.0016075	0.002259	0.0136425	0.0022945	0.0025745	0.002438	0.0016275	0.00166075	0.00125625	0.00161975	0.00140325	0.0016	0.00165925	0.00235875	0.01445375	0.00469	0.007413	0.009813	0.001789	0.001853	0.001381	0.002257	0.001602	0.00184	0.001813	0.002739	0.017199	0.00222718	0.00246059	0.00245439	0.00157997	0.00160609	0.00122629	0.00159287	0.00136594	0.00154415	0.00161632	0.00228057	0.01375741
50	0.002918	0.00222	0.002354	0.002043	0.002089	0.001452	0.001987	0.001725	0.001742	0.002045	0.00288	0.017531	0.00318475	0.00279	0.00296575	0.0021685	0.00222525	0.00155225	0.00212025	0.00185725	0.00191675	0.00214825	0.00309525	0.01908125	0.0032795	0.002917	0.003098	0.002229	0.00228	0.0015875	0.0021735	0.0019055	0.0019725	0.002207	0.0032185	0.019925	0.00339075	0.0030225	0.00320025	0.00228375	0.002351	0.0016405	0.00221975	0.00197	0.00202525	0.00225275	0.00332725	0.0206535	0.003789	0.005233	0.005887	0.002496	0.002545	0.00181	0.002381	0.002198	0.002292	0.002406	0.003632	0.023645	0.0032901	0.00308221	0.00309018	0.00223165	0.00228538	0.00159403	0.00217043	0.00191504	0.00197522	0.00220336	0.00321461	0.02000532
60	0.004529	0.003047	0.003347	0.002941	0.002962	0.002	0.002809	0.00237	0.002374	0.002873	0.00391	0.026558	0.0047265	0.0037545	0.0040005	0.00303975	0.00310375	0.00209	0.00292525	0.0025	0.00253875	0.00297175	0.00420775	0.02853775	0.0048035	0.003883	0.004152	0.0030905	0.003175	0.002127	0.002968	0.002534	0.0025975	0.0030255	0.00435	0.029512	0.00492525	0.004528	0.0043125	0.003168	0.003247	0.002175	0.0030175	0.00258925	0.00266025	0.00307425	0.00447925	0.03062925	0.010843	0.010153	0.005147	0.003845	0.003555	0.002396	0.003229	0.002964	0.003291	0.003307	0.005161	0.037426	0.00489518	0.00460407	0.00419555	0.00311636	0.00318205	0.00213955	0.00297182	0.00255215	0.00260862	0.00302547	0.00437709	0.02979585
70	0.006459	0.003945	0.004836	0.003913	0.003937	0.002526	0.003652	0.003114	0.00293	0.00374	0.005283	0.036246	0.00676925	0.00485375	0.0051935	0.0040885	0.0041655	0.00263125	0.00378	0.003322	0.00306425	0.003856	0.00564475	0.039779	0.0069465	0.0051025	0.005369	0.0041845	0.0042685	0.002704	0.0038835	0.003402	0.0031605	0.0039485	0.0058175	0.0421875	0.0070865	0.005893	0.00582075	0.004353	0.004404	0.0028095	0.00402625	0.00350725	0.0032895	0.00407125	0.006086	0.04380175	0.007652	0.015441	0.006607	0.004929	0.004904	0.003103	0.004585	0.004097	0.004389	0.004518	0.007581	0.052543	0.00695542	0.00624515	0.00547853	0.00424235	0.00430964	0.00273171	0.00392063	0.00343232	0.00322171	0.00398613	0.00592966	0.04205902
80	0.008862	0.00568	0.006041	0.005379	0.005519	0.003039	0.004669	0.004002	0.003482	0.004762	0.006523	0.046631	0.0091855	0.00596825	0.0064795	0.00560775	0.0057275	0.00322725	0.004837	0.0041175	0.00366175	0.00490975	0.00691975	0.05067725	0.009333	0.0067925	0.0067975	0.005719	0.0058445	0.003295	0.0049015	0.0042115	0.0037615	0.004983	0.007117	0.052423	0.0094815	0.0069745	0.0073715	0.00587	0.00598175	0.00338075	0.00503075	0.00435	0.00389525	0.0050915	0.007403	0.055132	0.010704	0.012829	0.008406	0.007281	0.006385	0.003644	0.005587	0.005045	0.004401	0.005486	0.008295	0.062583	0.00938447	0.00694159	0.00694562	0.00577905	0.00586524	0.00330957	0.00494854	0.00424255	0.00379469	0.00502101	0.00719209	0.05299582
90	0.010575	0.006721	0.007135	0.005959	0.006015	0.003584	0.005479	0.004781	0.004127	0.005636	0.008093	0.058953	0.0109795	0.00697525	0.00771275	0.0061865	0.00629675	0.00374425	0.0057195	0.004996	0.00434725	0.00583575	0.00846925	0.06493875	0.0111305	0.007964	0.008274	0.0062885	0.0064225	0.003789	0.005816	0.005135	0.004417	0.005908	0.0087415	0.0673765	0.0113415	0.00829275	0.00870825	0.0064355	0.00655025	0.00384625	0.00591975	0.00524075	0.00455075	0.00599525	0.00894075	0.0700165	0.027311	0.014413	0.010444	0.006856	0.007078	0.004077	0.006159	0.005557	0.005021	0.00625	0.009785	0.077147	0.01132552	0.0080433	0.00822384	0.00632887	0.00642503	0.003803	0.00582011	0.0051379	0.0044617	0.00591162	0.00873406	0.06765478
100	0.013044	0.007641	0.007972	0.007218	0.00734	0.004114	0.006654	0.005695	0.004756	0.006771	0.009626	0.073829	0.01353075	0.00800175	0.0088965	0.0075115	0.007615	0.0043125	0.00684	0.00593025	0.00495125	0.006942	0.010243	0.082076	0.013733	0.009131	0.009688	0.007633	0.0077125	0.0043835	0.0069275	0.006021	0.005069	0.0070395	0.0104665	0.0855475	0.0139575	0.0093325	0.010041	0.00774875	0.0078355	0.00444175	0.00701525	0.00620725	0.005182	0.00711375	0.01078925	0.08845525	0.036402	0.015267	0.011634	0.008064	0.00817	0.004645	0.007457	0.00659	0.005501	0.007525	0.011925	0.103856	0.01433156	0.00904935	0.0095635	0.00762772	0.00772705	0.00438268	0.00693702	0.00607174	0.00507434	0.00704003	0.01051625	0.08555191
