States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	0.391304	0.192429	0.192429	0.243086	0.262976	0.243243	0.397028	0.3216	0.404676	0.452785	0.399602	0.712281	0.49543825	0.310789	0.31774675	0.40012175	0.4021435	0.3629405	0.50799125	0.46724625	0.55087625	0.58870375	0.48337925	0.8293015	0.511254	0.329915	0.329915	0.434185	0.4343145	0.397163	0.5271745	0.4897235	0.588897	0.611805	0.5175375	0.862934	0.52266875	0.423039	0.458065	0.460993	0.4610645	0.43330225	0.5409755	0.516827	0.60899	0.6511865	0.53128575	0.8941905	0.56231	0.534562	0.595745	0.491166	0.491166	0.491166	0.605479	0.551402	0.690566	0.72459	0.58631	0.936255	0.50822981	0.3544029	0.36003983	0.42793578	0.42996104	0.39732814	0.52376804	0.48714962	0.58037603	0.61533267	0.50737054	0.85636199
20	0.389531	0.207226	0.207226	0.267148	0.268502	0.233221	0.447637	0.386873	0.441547	0.527406	0.429012	0.73444	0.437177	0.232246	0.232246	0.32091175	0.320063	0.2866695	0.50678925	0.43013425	0.49458925	0.57052775	0.4669455	0.805347	0.4594595	0.242	0.242	0.331397	0.3333185	0.30545	0.5256955	0.442546	0.515153	0.5933415	0.487144	0.8397115	0.4749575	0.273376	0.2742655	0.349994	0.3496555	0.318805	0.54501425	0.454201	0.53512075	0.612755	0.50385825	0.85563475	0.507692	0.300392	0.300392	0.388889	0.388889	0.373171	0.581451	0.49832	0.581569	0.666301	0.568212	0.907524	0.45609856	0.25054348	0.25165714	0.33630084	0.33617057	0.30304773	0.52497474	0.4416769	0.51397337	0.59358309	0.48662835	0.83391372
30	0.342649	0.18294	0.18294	0.256938	0.256938	0.237722	0.470552	0.362933	0.421439	0.526117	0.418966	0.740291	0.3863785	0.20401	0.205378	0.2783485	0.2761435	0.2540345	0.509194	0.4106325	0.46831275	0.5685275	0.45533175	0.800671	0.4008825	0.218072	0.218072	0.2886155	0.2867655	0.264704	0.523035	0.4215515	0.482021	0.5835485	0.4731335	0.8158015	0.4176715	0.225686	0.225686	0.29927325	0.29414775	0.2745305	0.533455	0.429459	0.49379975	0.5916215	0.48797325	0.83855475	0.466013	0.36292	0.35497	0.34198	0.341033	0.303309	0.56149	0.457124	0.530028	0.625751	0.532899	0.886996	0.40085658	0.2227344	0.22100523	0.2891688	0.28671418	0.26459967	0.52060963	0.42030635	0.4805307	0.58003427	0.47272602	0.81716018
40	0.321152	0.173394	0.175743	0.233773	0.235	0.216163	0.472596	0.368863	0.410773	0.522192	0.420441	0.716912	0.35044375	0.18843625	0.18757	0.25372925	0.25192525	0.233636	0.49793175	0.39341675	0.45412125	0.556226	0.4533055	0.8003205	0.3660075	0.1941035	0.193489	0.259671	0.2587775	0.241547	0.518661	0.4014425	0.463688	0.571613	0.4683595	0.8205825	0.38634825	0.20902	0.20902	0.269317	0.26753275	0.24911925	0.53276675	0.41119575	0.47539425	0.5908475	0.4786485	0.838692	0.434175	0.28352	0.28352	0.289973	0.280611	0.26466	0.590264	0.453271	0.509545	0.63125	0.518501	0.886194	0.36844435	0.20039829	0.20096923	0.26079648	0.25923373	0.24180432	0.51781559	0.40270484	0.46467808	0.57272607	0.46662788	0.81903258
50	0.297263	0.159828	0.159828	0.22138	0.219186	0.201772	0.467493	0.353393	0.397718	0.512634	0.413761	0.74756	0.3282095	0.181444	0.181444	0.23631925	0.23626325	0.21860075	0.4990185	0.3779025	0.43583675	0.55295575	0.446156	0.8043745	0.3391105	0.18495	0.18495	0.241834	0.2415985	0.2248305	0.5157875	0.395033	0.449317	0.5659115	0.4631055	0.816703	0.35141625	0.1987485	0.1987485	0.24862775	0.2484155	0.23231775	0.5260865	0.40353425	0.45986	0.57984975	0.47482375	0.833226	0.406463	0.268661	0.359135	0.260259	0.276235	0.243889	0.589665	0.428889	0.494272	0.603316	0.504676	0.865097	0.3404234	0.19145347	0.19291062	0.24209939	0.24205026	0.22466667	0.51422384	0.39132392	0.44823105	0.56396115	0.4609659	0.81597508
60	0.275602	0.162924	0.162924	0.21395	0.213581	0.1965	0.468236	0.359209	0.401902	0.50716	0.416991	0.739605	0.31727975	0.173545	0.173545	0.22677825	0.226565	0.210475	0.4946995	0.37734625	0.430529	0.54663325	0.447928	0.7910455	0.3293775	0.179656	0.179656	0.2316605	0.231142	0.2161375	0.510525	0.3857905	0.439331	0.5592385	0.4588095	0.807266	0.34335225	0.200863	0.200863	0.23665	0.23534575	0.22010275	0.5211235	0.39633925	0.44851325	0.569467	0.47143	0.8205935	0.371688	0.260504	0.264273	0.256331	0.253524	0.228824	0.581944	0.423217	0.471211	0.601283	0.500481	0.884376	0.32969826	0.19179042	0.1909493	0.23177711	0.23116664	0.2153859	0.50975336	0.38710037	0.43911381	0.55799542	0.45864133	0.80540294
70	0.276305	0.153955	0.153955	0.205922	0.208076	0.185413	0.471966	0.331291	0.381738	0.503566	0.416946	0.752568	0.30556	0.170994	0.170994	0.21710675	0.21703875	0.202785	0.4987915	0.3716695	0.423452	0.54322325	0.4425135	0.790692	0.313997	0.174903	0.174903	0.220716	0.22058	0.2069425	0.5107625	0.3796665	0.4321025	0.5563595	0.4508655	0.8041305	0.325411	0.178399	0.178399	0.22434675	0.22473625	0.21005275	0.5157945	0.38787025	0.438948	0.566697	0.4626975	0.8165615	0.375467	0.258841	0.258841	0.243717	0.242548	0.215192	0.587113	0.408399	0.463962	0.589018	0.491692	0.846491	0.31605608	0.18376792	0.18294564	0.22148527	0.22104128	0.20619915	0.50918895	0.37925932	0.43041936	0.55486065	0.45282199	0.80366157
80	0.269793	0.150991	0.150991	0.195807	0.200179	0.186674	0.470179	0.346891	0.394211	0.520724	0.414899	0.757897	0.29565725	0.164078	0.164078	0.2100185	0.21054	0.197261	0.49815475	0.36941725	0.41546525	0.54014	0.444127	0.7847385	0.3066655	0.1712585	0.1712585	0.2144465	0.2148125	0.2008675	0.507618	0.377477	0.4227745	0.5521805	0.450683	0.8025125	0.31881775	0.20361125	0.1991555	0.21893325	0.2180965	0.20392525	0.515379	0.38391975	0.43365475	0.5594415	0.4634865	0.815226	0.355123	0.298882	0.298882	0.237191	0.233997	0.212238	0.584047	0.406517	0.457932	0.581571	0.486515	0.848318	0.30781037	0.18397757	0.18411441	0.21502509	0.21498469	0.20052742	0.50845145	0.37726048	0.42382678	0.55116483	0.45219455	0.8019634
90	0.263636	0.148417	0.148417	0.192917	0.194142	0.181594	0.471012	0.346499	0.385374	0.511572	0.41796	0.743579	0.2881255	0.158351	0.158351	0.203508	0.20434725	0.18964275	0.49494025	0.3660025	0.40860525	0.53884675	0.437204	0.78277625	0.2973255	0.167296	0.167296	0.20647	0.2077735	0.1938785	0.5019945	0.3732365	0.4158535	0.5479325	0.450063	0.798551	0.30647675	0.19173075	0.17761575	0.211709	0.21126425	0.1971895	0.51283775	0.38076425	0.42406325	0.555105	0.455624	0.81283275	0.332736	0.301611	0.249066	0.237245	0.226694	0.204745	0.576227	0.412428	0.441163	0.579003	0.482615	0.854892	0.29739076	0.17803868	0.1751123	0.20809185	0.20828285	0.19370842	0.5057988	0.37371334	0.41546068	0.54721903	0.44768603	0.79791911
100	0.258499	0.150137	0.150137	0.187166	0.189522	0.176985	0.464286	0.338501	0.386442	0.517008	0.41722	0.753046	0.280733	0.15607075	0.156081	0.198634	0.199821	0.1870125	0.4889375	0.362325	0.406577	0.53770375	0.439346	0.78131775	0.291095	0.164963	0.165141	0.2018235	0.202892	0.189945	0.500575	0.371084	0.4148635	0.546783	0.448325	0.7953405	0.30038075	0.193537	0.19518475	0.2067005	0.2063275	0.19245925	0.51053875	0.37814475	0.42082525	0.5597425	0.4554865	0.8061345	0.321836	0.283072	0.247565	0.221491	0.219616	0.197721	0.573193	0.398696	0.442115	0.584845	0.483	0.844638	0.29076645	0.1749507	0.17536574	0.20297065	0.20360716	0.18958399	0.5018979	0.37062758	0.4136409	0.54756373	0.44741538	0.79378527
