States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	149	142	142	127	125	126	149	151	153	149	147	183	161	180.25	142	134	133	137	170.5	167	175	170.5	164.5	211	167	193	193	139	139	141	179	177	185	179	175	223	175	193	193	148	147	149	189	183	209	189	187	235	219	244	244	167	166	169	233	211	269	239	213	349	169.08	186.25	184.13	141.59	140.64	142.9	180.76	177.02	191.52	180.5	176.66	225.14
20	347	383	383	305	282	304	375	393	417	375	391	479	376.5	383	383	326	329	322.5	431	423	464.5	431	425	535	392	484	484	340.5	341.5	331	453	439	490	451	441	560	413	484	484	352.25	353.25	342.25	475.5	456	519.5	475	461	583.5	573	787	787	444	439	417	601	521	709	607	537	721	400.98	455.72	452.69	340.78	341.72	333.15	454.86	441.38	494.7	454.78	444.14	564.12
30	579	573	573	501	502	487	671	635	697	667	641	805	663	724	724	541.5	552.25	517.5	728.5	703	779	726.5	708.5	906	699	724	724	561	568	530	756	721	807	752	726	937	754.5	875	875	576.5	588.25	543.25	777	743	851	774	747.5	990	933	1177	1177	708	708	576	911	817	935	905	833	1093	711.63	784.4	788.93	563.08	572.01	529.4	754.6	723.76	811.5	753.54	730.58	946.98
40	901	964	964	716	727	677	947	935	997	945	953	1155	1009	964	964	774.75	776.5	715	1029	998.5	1107	1028.5	1011	1308.5	1073	1165	1165	789	795	729	1060	1020	1135	1055	1034	1345	1130	1165	1165	814.25	824	745.75	1108	1047	1188	1097.5	1065.5	1406.5	1371	1567	1567	948	990	788	1455	1167	1267	1173	1159	1621	1077.84	1120.78	1124.8	794.43	805.65	730.56	1077.48	1025.06	1146.26	1061.4	1037.14	1360.42
50	1195	1204	1204	949	950	891	1287	1253	1377	1287	1237	1611	1454.5	1455	1455	1001.75	1008.75	924	1350.5	1309	1459	1349.5	1326.5	1748	1544	1455	1455	1024	1046	944	1381	1346	1506	1379	1361	1785	1605.5	1455	1455	1053.25	1062.25	967.25	1408.5	1381	1561.5	1404.5	1391.5	1833	1903	1957	1957	1254	1265	1022	2121	1483	1689	1653	1577	2175	1544.73	1455	1451.85	1032.75	1048.74	946.35	1401.08	1346.94	1510.52	1385.72	1363.14	1791.66
60	1599	1444	1444	1169	1160	1105	1583	1513	1729	1581	1557	2001	1851	1745	1745	1230	1237.25	1138	1667	1622	1816	1664	1630.5	2131	1949	1745	1745	1266	1282.5	1154.5	1705	1655	1847	1701	1675	2220	2061.5	2046	2046	1305	1306.75	1172	1766	1683.5	1905.5	1750.5	1703.5	2271.5	2554	2648	2648	1572	1540	1269	2283	1837	2145	1879	1845	2575	1968.87	1865.4	1874.43	1285.09	1299.44	1156.19	1734.32	1654.56	1860.56	1708.88	1668.8	2213.54
70	2109	2035	2035	1435	1449	1325	1955	1903	2101	1945	1931	2425	2379.5	2035	2035	1476.75	1506.5	1359.75	2027	1964.5	2190.5	2022.5	1995	2600	2473	2035	2035	1527.5	1530	1374	2067	1996	2241	2062	2028	2696	2593.5	2386	2386	1554	1549	1391.25	2121	2031	2281.5	2113.5	2059.5	2773.5	2815	3088	3088	1800	1831	1477	2861	2207	2429	2263	2211	2941	2482.68	2214.01	2224.54	1538.63	1550.76	1378.53	2104.58	2001.8	2245.3	2067.3	2030.14	2686.02
80	2499	1924	1924	1657	1658	1511	2267	2191	2413	2257	2219	2891	2822.5	2325	2325	1747.75	1759.75	1577.75	2370	2296.5	2555	2362.5	2326.5	3049.5	2983	2726	2726	1786.5	1779.5	1593.5	2411	2327	2602	2401	2369	3133	3140	2726	2726	1824	1836	1621	2473	2363.5	2664	2457	2410	3198.5	3561	3528	3528	2162	2263	1679	3207	2517	2769	2695	2573	3443	2988.26	2645.8	2645.8	1811.21	1827.88	1596.01	2460.8	2330.14	2609.96	2409.52	2372.54	3135.52
90	3067	2615	2615	1910	1902	1744	2627	2573	2817	2627	2595	3259	3402.5	2615	2615	2007	2006	1800.75	2713	2644.5	2941	2702.5	2680.5	3516.5	3509	3066	3066	2033.5	2028	1817.5	2781	2675	2993	2767	2712	3615	3701	3066	3066	2076	2059	1841.25	2837	2715.5	3047.5	2815.5	2754.5	3712.5	4263	4419	4419	2418	2423	1922	3723	2855	3217	3021	3033	3965	3543.45	3029.92	3029.92	2070.45	2076.4	1820.14	2833.64	2683.06	2996.26	2767.78	2720.32	3613.96
100	3555	2905	2905	2157	2160	1969	2975	2873	3195	2973	2929	3797	3903.5	2905	2905	2266	2248.5	2025.75	3104.5	2982.5	3337	3090	3032.5	4012.5	4032	3406	3406	2296	2269.5	2047.5	3152	3021	3391	3147	3073	4101	4242	3907	3907	2331	2328.5	2075.5	3222	3077	3455	3207.5	3106	4209.5	5049	4909	4408	2904	2756	2143	4259	3297	3587	3425	3283	4421	4091.57	3441.07	3406	2335.49	2340.25	2051.04	3196.6	3030.62	3395.42	3149.1	3074.2	4105.2
