States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	1905	1880	1840	1770	1770	1770	1905	1905	1471	1905	1635	1325	1985	2529.5	1990	1883.75	1877.75	2068.5	2048.5	2056	1743.5	2048.5	1861.75	1539.25	2060	3846	3846	2096.5	1979.5	2277.5	2116	2137	1933.5	2116	1985	1632.5	2121.5	4026	3958.5	2403.25	2376.25	2623.25	2205.5	2328.75	2145.25	2205.5	2112.5	1744.25	3136	7772	7772	4107	3413	3691	3317	3603	3074	3317	2865	2652	2092.67	3654.76	3570.36	2184.05	2147.76	2365.91	2153.34	2224.45	1993.68	2153.34	2028.48	1650.08
20	4385	8196	8196	5061	4460	5054	4699	4807	4496	4699	4509	3422	4895.25	8826	8803.5	5875.75	6092.75	6365	4996	5195	5088.25	4996	4819	3950	5147.5	12832	12832	6534.5	6492.5	6722	5110	5426.5	5410	5110	5011.5	4093	5736.5	13252	13252	6984.75	7030	7419.5	5305.25	5676.25	5841.75	5305.25	5288.5	4234	9139	18780	18780	10426	10152	10615	6286	7100	7650	6286	6636	4827	5405.55	11805.52	11670.04	6521.28	6551.88	6885.77	5173.94	5508.09	5505.36	5173.94	5115.81	4095.41
30	7736	13176	13176	9311	9356	10160	7593	7653	8113	7593	7370	6178	9446.75	20412	20412	11538	11871.5	11504	8215.75	8692.25	9018.5	8215.75	8039.5	6645.75	10430.5	20832	20832	12247.5	12532.5	12355	8483	9115.5	9416	8483	8459.5	6845.5	11795.5	27188	27188	13087.5	13422.75	13016.25	8828.75	9550.25	9819.75	8828.75	8918.75	7099.75	15915	34584	34584	16456	16456	14814	9831	12265	10842	9831	10537	7692	10808.76	22494.2	22698.68	12342.11	12663.82	12303.51	8535.98	9209.6	9424.4	8535.98	8516.71	6874.98
40	12627	27852	27852	16205	16456	15818	10898	11472	11703	10898	10870	8971	15723.5	28832	28832	18325.75	18537.5	17515	11603	12583.75	13053	11603	11626.5	9444.25	17621	37748	37748	19173	19404.5	18277	11997.5	13092	13561.5	11997.5	11990	9753.5	18963.5	38698	38698	20092.75	20571.75	19449	12403	13879	14138.5	12403	12629.5	10083.25	24824	49044	48324	22445	24369	21472	14688	16629	16131	14688	13719	11181	17650.92	35162.08	35191.2	19124.64	19544.54	18452.64	12146.21	13264.35	13593.45	12146.21	12079.6	9809.32
50	17343	35572	31450	23236	23058	22516	14227	14975	16413	14227	13673	11996	24637.25	45637	40149	25596.5	25777	24287	15210.5	16839.75	17700	15210.5	15282	12628.25	27094.5	48973	48878	26286	27042.5	25549	15664	17916	18280.5	15664	15958.5	12818	29337	49828	49685.5	27783	28078	26659	16116.75	18866	19036	16116.75	16626.5	13053.5	36419	65424	65424	31512	31733	30030	21236	21696	21131	21236	19137	15037	27107.12	47481.4	47151.04	26626.17	27057.33	25578.22	15800.38	17914.5	18379.45	15800.38	16027.96	12885.22
60	25508	43852	43852	29840	29221	29666	17848	19342	20682	17848	17559	14934	32104.5	59200.5	59438	32991.5	33348.75	31442	18876	21136.5	22279.75	18876	18992.75	15601.5	34467.5	60483	60578	34136.5	34805	32318	19415.5	22032.5	22809	19415.5	19511.5	16023.5	38370.25	62525.5	63210	35717.75	36216.5	33448	20132.5	22709.5	23608.5	20132.5	19981.25	16412	54500	79776	78816	43429	42137	38660	24292	27083	26705	24292	22060	18239	35509.08	60484.8	60954.78	34436.92	34934.28	32503.36	19658.23	22035.46	23046.92	19658.23	19534.21	16071.1
70	32610	55924	55924	39222	39304	37170	21618	24236	25870	21618	21365	18137	42893.25	70948	71090.5	41159.75	41676.75	39015	22914.25	26031.5	27272.25	22914.25	23151	18875	46586	72183	72278	42590.5	43018	39992	23486	26721	28070	23486	23664	19382.5	50039.75	74507.5	74887.5	44384.5	44157	41188.5	24100.25	27844.75	28881.25	24100.25	24178.5	19754.5	59640	94344	94344	50839	51729	47818	29398	32494	34045	29398	26193	21300	46526.65	74389.06	74952.54	42905.48	43403.63	40255.84	23774.57	26986.83	28210.52	23774.57	23693.47	19370.43
80	41524	61392	61392	46812	46700	42668	25511	28313	29650	25511	25631	21224	52677.5	82648	82600.5	50129.25	50558.25	46294	26875.25	30504.5	32281.75	26875.25	26962.75	22168.5	57220.5	84928	84738	51856	51664.5	47593	27424.5	31651	33145.5	27424.5	27638	22448	62015.25	102564	102624	53376	53877.5	49069.5	28215.5	32628.25	34037.5	28215.5	28451.25	22831.75	77496	109524	109524	57824	61781	52030	33116	37472	36677	33116	30827	24515	57379.41	88898.1	88909.6	51850.23	52369.67	47739.1	27769.7	31686.9	33122.66	27769.7	27720.11	22555.89
90	54898	73904	74184	54100	54328	51252	29732	33039	35188	29732	29395	24445	65528.75	94918	95250.5	59219.75	59383.75	54923	30742	35912.5	37634.75	30742	31082.25	25490.5	68824.5	98670	99525	61149	60573	56080	31620.5	36954.5	38620.5	31620.5	31662	25979	74721.25	118944	119004	62276.75	62679.75	57551	32718.25	37907.5	39323.75	32718.25	32771.75	26581	94944	125376	152184	69021	70963	63252	38240	40596	43655	38240	35411	28030	70085.69	104699.22	106087.94	60951.61	61126.85	56189.1	32064.26	36948.5	38598.74	32064.26	31916.03	26012.65
100	64258	84784	82824	63640	63183	59750	33142	38647	40397	33142	32904	27626	76073.5	107330.5	107140.5	68487.5	67786.25	62972	35181	40825.25	42790.75	35181	35158.25	28940.75	81466.5	113150	112164	70322.5	69071	64435	36117	42123.5	43763	36117	35973	29465	88639.5	133644	133404	72136.25	72331	65808	37304	43209.75	44695.75	37304	36665.25	30100.5	111367	143188	147028	87881	82810	69940	42978	46662	48093	42978	39084	31920	82680.64	120311.14	119020.96	70367.37	70378.52	64548.12	36402.16	42059.66	43812.58	36402.16	35993.76	29517.76
