Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	4	40	5	2	0	925	11187	3429	0.306516	0.005931	TS	SVS-method	0	DFA_R40_5.fsm
0	4	40	5	2	0	1166	10211	2371	0.232201	0.003193	TS	W-method	1	DFA_R40_5.fsm
0	4	40	5	2	0	1367	12124	2572	0.212141	0.003929	TS	W-methodST	2	DFA_R40_5.fsm
0	4	40	5	2	0	820	6705	1661	0.247726	0.002505	TS	Wp-method	3	DFA_R40_5.fsm
0	4	40	5	2	0	901	7226	1596	0.220869	0.002774	TS	Wp-methodST	4	DFA_R40_5.fsm
0	4	40	5	2	0	660	6076	1185	0.195030	0.001381	TS	HSI-method	5	DFA_R40_5.fsm
0	4	40	5	2	0	255	3625	2041	0.563034	0.002115	TS	HSI-methodST	6	DFA_R40_5.fsm
0	4	40	5	2	0	437	5179	1849	0.357019	0.001615	TS	H-method	7	DFA_R40_5.fsm
0	4	40	5	2	0	366	4518	2073	0.458831	0.001535	TS	SPY-method	8	DFA_R40_5.fsm
0	4	40	5	2	0	255	3625	2041	0.563034	0.002101	TS	SPY-methodST	9	DFA_R40_5.fsm
0	4	40	5	2	0	247	3455	1811	0.524168	0.002496	TS	SPYH-method	10	DFA_R40_5.fsm
0	4	40	5	2	0	100	3036	2491	0.820487	0.020770	TS	S-method	11	DFA_R40_5.fsm
0	4	40	5	2	1	4696	65942	17311	0.262519	0.016495	TS	SVS-method	0	DFA_R40_5.fsm
0	4	40	5	2	1	5835	62726	11870	0.189236	0.011904	TS	W-method	1	DFA_R40_5.fsm
0	4	40	5	2	1	6841	74304	12876	0.173288	0.013769	TS	W-methodST	2	DFA_R40_5.fsm
0	4	40	5	2	1	4132	41969	8311	0.198027	0.008867	TS	Wp-method	3	DFA_R40_5.fsm
0	4	40	5	2	1	4491	44796	7958	0.177650	0.009134	TS	Wp-methodST	4	DFA_R40_5.fsm
0	4	40	5	2	1	3300	36898	5893	0.159711	0.006704	TS	HSI-method	5	DFA_R40_5.fsm
0	4	40	5	2	1	1280	20634	10149	0.491858	0.005267	TS	HSI-methodST	6	DFA_R40_5.fsm
0	4	40	5	2	1	1904	27166	8971	0.330229	0.006851	TS	H-method	7	DFA_R40_5.fsm
0	4	40	5	2	1	1644	25136	11027	0.438694	0.009114	TS	SPY-method	8	DFA_R40_5.fsm
0	4	40	5	2	1	1280	20634	10149	0.491858	0.005189	TS	SPY-methodST	9	DFA_R40_5.fsm
0	4	40	5	2	1	1051	18399	8771	0.476711	0.017173	TS	SPYH-method	10	DFA_R40_5.fsm
0	4	40	5	2	1	559	16993	12819	0.754369	0.163701	TS	S-method	11	DFA_R40_5.fsm
0	4	40	5	2	2	23458	376352	86471	0.229761	0.078524	TS	SVS-method	0	DFA_R40_5.fsm
0	4	40	5	2	2	29180	371991	59365	0.159587	0.065092	TS	W-method	1	DFA_R40_5.fsm
0	4	40	5	2	2	34211	439944	64396	0.146373	0.075089	TS	W-methodST	2	DFA_R40_5.fsm
0	4	40	5	2	2	20612	250537	41553	0.165856	0.051007	TS	Wp-method	3	DFA_R40_5.fsm
0	4	40	5	2	2	22414	268240	39811	0.148416	0.048763	TS	Wp-methodST	4	DFA_R40_5.fsm
0	4	40	5	2	2	16454	216954	29453	0.135757	0.039893	TS	HSI-method	5	DFA_R40_5.fsm
0	4	40	5	2	2	6370	115264	50513	0.438237	0.023747	TS	HSI-methodST	6	DFA_R40_5.fsm
0	4	40	5	2	2	8120	139056	45031	0.323834	0.035376	TS	H-method	7	DFA_R40_5.fsm
0	4	40	5	2	2	7505	137095	58681	0.428032	0.089613	TS	SPY-method	8	DFA_R40_5.fsm
0	4	40	5	2	2	6370	115264	50513	0.438237	0.023389	TS	SPY-methodST	9	DFA_R40_5.fsm
