"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	4	70	5	2	0	3015	39815	10627	0.266909	0.020216	TS	SVS-method	0	DFA_R70_5.fsm"
"0	4	70	5	2	0	2087	21647	5456	0.252044	0.011359	TS	W-method	1	DFA_R70_5.fsm"
"0	4	70	5	2	0	2387	24156	5194	0.215019	0.009258	TS	W-methodST	2	DFA_R70_5.fsm"
"0	4	70	5	2	0	2156	19133	4021	0.210160	0.007035	TS	Wp-method	3	DFA_R70_5.fsm"
"0	4	70	5	2	0	1658	14888	3425	0.230051	0.007394	TS	Wp-methodST	4	DFA_R70_5.fsm"
"0	4	70	5	2	0	1268	12808	2467	0.192614	0.002826	TS	HSI-method	5	DFA_R70_5.fsm"
"0	4	70	5	2	0	459	7262	4025	0.554255	0.004866	TS	HSI-methodST	6	DFA_R70_5.fsm"
"0	4	70	5	2	0	974	12204	3829	0.313750	0.003932	TS	H-method	7	DFA_R70_5.fsm"
"0	4	70	5	2	0	702	9406	4177	0.444078	0.002884	TS	SPY-method	8	DFA_R70_5.fsm"
"0	4	70	5	2	0	459	7262	4025	0.554255	0.004771	TS	SPY-methodST	9	DFA_R70_5.fsm"
"0	4	70	5	2	0	502	7396	3623	0.489859	0.006136	TS	SPYH-method	10	DFA_R70_5.fsm"
"0	4	70	5	2	0	222	6034	4621	0.765827	0.057306	TS	S-method	11	DFA_R70_5.fsm"
"0	4	70	5	2	1	14821	225869	52445	0.232192	0.052034	TS	SVS-method	0	DFA_R70_5.fsm"
"0	4	70	5	2	1	10466	129380	27323	0.211184	0.028545	TS	W-method	1	DFA_R70_5.fsm"
"0	4	70	5	2	1	11941	144668	25988	0.179639	0.025202	TS	W-methodST	2	DFA_R70_5.fsm"
"0	4	70	5	2	1	10762	116982	20125	0.172035	0.021026	TS	Wp-method	3	DFA_R70_5.fsm"
"0	4	70	5	2	1	8276	90806	17121	0.188545	0.018825	TS	Wp-methodST	4	DFA_R70_5.fsm"
"0	4	70	5	2	1	6353	76946	12380	0.160892	0.012182	TS	HSI-method	5	DFA_R70_5.fsm"
"0	4	70	5	2	1	2271	40686	20155	0.495379	0.010229	TS	HSI-methodST	6	DFA_R70_5.fsm"
"0	4	70	5	2	1	4027	62495	18301	0.292839	0.017826	TS	H-method	7	DFA_R70_5.fsm"
"0	4	70	5	2	1	3084	51436	22585	0.439089	0.018130	TS	SPY-method	8	DFA_R70_5.fsm"
"0	4	70	5	2	1	2271	40686	20155	0.495379	0.011009	TS	SPY-methodST	9	DFA_R70_5.fsm"
"0	4	70	5	2	1	1922	36086	16905	0.468464	0.050891	TS	SPYH-method	10	DFA_R70_5.fsm"
"0	4	70	5	2	1	1102	33258	24091	0.724367	0.511879	TS	S-method	11	DFA_R70_5.fsm"
"0	4	70	5	2	2	74010	1276302	262033	0.205306	0.231947	TS	SVS-method	0	DFA_R70_5.fsm"
"0	4	70	5	2	2	52335	751575	136632	0.181794	0.143272	TS	W-method	1	DFA_R70_5.fsm"
"0	4	70	5	2	2	59711	842768	129958	0.154204	0.136298	TS	W-methodST	2	DFA_R70_5.fsm"
"0	4	70	5	2	2	53794	692474	100695	0.145413	0.117109	TS	Wp-method	3	DFA_R70_5.fsm"
"0	4	70	5	2	2	41456	537811	85697	0.159344	0.090513	TS	Wp-methodST	4	DFA_R70_5.fsm"
"0	4	70	5	2	2	31766	448424	61979	0.138215	0.071470	TS	HSI-method	5	DFA_R70_5.fsm"
"0	4	70	5	2	2	11394	226475	100783	0.445007	0.040851	TS	HSI-methodST	6	DFA_R70_5.fsm"
"0	4	70	5	2	2	16955	310925	91313	0.293682	0.084077	TS	H-method	7	DFA_R70_5.fsm"
"0	4	70	5	2	2	14434	282592	120367	0.425939	0.184758	TS	SPY-method	8	DFA_R70_5.fsm"
"0	4	70	5	2	2	11394	226475	100783	0.445007	0.040158	TS	SPY-methodST	9	DFA_R70_5.fsm"
"0	4	70	5	2	2	9579	201443	85609	0.424979	0.591119	TS	SPYH-method	10	DFA_R70_5.fsm"
"0	4	70	5	2	2	5610	184500	126429	0.685252	8.438764	TS	S-method	11	DFA_R70_5.fsm"
"0	4	70	5	2	0	3010	40206	10805	0.268741	0.019247	TS	SVS-method	0	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	2738	28275	6247	0.220937	0.011684	TS	W-method	1	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	1742	19170	5813	0.303234	0.009256	TS	W-methodST	2	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	2035	18569	3896	0.209812	0.007248	TS	Wp-method	3	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	1702	15717	3617	0.230133	0.007368	TS	Wp-methodST	4	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	1345	13840	2512	0.181503	0.002917	TS	HSI-method	5	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	526	8155	4901	0.600981	0.005351	TS	HSI-methodST	6	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	973	12459	3853	0.309254	0.004283	TS	H-method	7	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	736	10010	4291	0.428671	0.003300	TS	SPY-method	8	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	526	8155	4901	0.600981	0.005195	TS	SPY-methodST	9	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	509	7723	3785	0.490095	0.006335	TS	SPYH-method	10	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	0	220	6440	4981	0.773447	0.068449	TS	S-method	11	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	15069	231537	54047	0.233427	0.049368	TS	SVS-method	0	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	13697	168776	31256	0.185192	0.032639	TS	W-method	1	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	8710	113250	29079	0.256768	0.022987	TS	W-methodST	2	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	10154	112869	19413	0.171996	0.020202	TS	Wp-method	3	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	8491	95246	18030	0.189299	0.019041	TS	Wp-methodST	4	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	6668	81840	12453	0.152163	0.012656	TS	HSI-method	5	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	2665	46550	24642	0.529366	0.011182	TS	HSI-methodST	6	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	4145	65283	18659	0.285817	0.017313	TS	H-method	7	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	3295	54619	22815	0.417712	0.018751	TS	SPY-method	8	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	2665	46550	24642	0.529366	0.011103	TS	SPY-methodST	9	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	2038	38820	17577	0.452782	0.051099	TS	SPYH-method	10	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	1	1219	35373	24861	0.702824	0.552560	TS	S-method	11	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	2	75351	1308353	270227	0.206540	0.220131	TS	SVS-method	0	DFA_R70_5_E4vCW.fsm"
"0	4	70	5	2	2	68492	980871	156301	0.159349	0.166185	TS	W-method	1	DFA_R70_5_E4vCW.fsm"
