Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	1	20	5	5	0	81	723	363	0.502075	0.000551	TS	SVS-method	0	DFSM_R20_5.fsm
0	1	20	5	5	0	182	1293	383	0.296210	0.000421	TS	W-method	1	DFSM_R20_5.fsm
0	1	20	5	5	0	182	1293	383	0.296210	0.000434	TS	W-methodST	2	DFSM_R20_5.fsm
0	1	20	5	5	0	136	923	337	0.365114	0.000386	TS	Wp-method	3	DFSM_R20_5.fsm
0	1	20	5	5	0	136	923	337	0.365114	0.000392	TS	Wp-methodST	4	DFSM_R20_5.fsm
0	1	20	5	5	0	134	1062	335	0.315443	0.000288	TS	HSI-method	5	DFSM_R20_5.fsm
0	1	20	5	5	0	92	855	426	0.498246	0.000403	TS	HSI-methodST	6	DFSM_R20_5.fsm
0	1	20	5	5	0	85	755	371	0.491391	0.000221	TS	H-method	7	DFSM_R20_5.fsm
0	1	20	5	5	0	92	940	495	0.526596	0.000333	TS	SPY-method	8	DFSM_R20_5.fsm
0	1	20	5	5	0	92	855	426	0.498246	0.000385	TS	SPY-methodST	9	DFSM_R20_5.fsm
0	1	20	5	5	0	80	728	371	0.509615	0.000320	TS	SPYH-method	10	DFSM_R20_5.fsm
0	1	20	5	5	0	28	536	451	0.841418	0.001359	TS	S-method	11	DFSM_R20_5.fsm
0	1	20	5	5	1	405	4425	1821	0.411525	0.001909	TS	SVS-method	0	DFSM_R20_5.fsm
0	1	20	5	5	1	911	8286	1922	0.231958	0.001507	TS	W-method	1	DFSM_R20_5.fsm
0	1	20	5	5	1	911	8286	1922	0.231958	0.001549	TS	W-methodST	2	DFSM_R20_5.fsm
0	1	20	5	5	1	690	6057	1701	0.280832	0.001339	TS	Wp-method	3	DFSM_R20_5.fsm
0	1	20	5	5	1	690	6057	1701	0.280832	0.001316	TS	Wp-methodST	4	DFSM_R20_5.fsm
0	1	20	5	5	1	657	6512	1668	0.256143	0.001254	TS	HSI-method	5	DFSM_R20_5.fsm
0	1	20	5	5	1	458	5167	2122	0.410683	0.001164	TS	HSI-methodST	6	DFSM_R20_5.fsm
0	1	20	5	5	1	414	4554	1869	0.410408	0.000847	TS	H-method	7	DFSM_R20_5.fsm
0	1	20	5	5	1	408	5340	2613	0.489326	0.001699	TS	SPY-method	8	DFSM_R20_5.fsm
0	1	20	5	5	1	458	5167	2122	0.410683	0.001085	TS	SPY-methodST	9	DFSM_R20_5.fsm
0	1	20	5	5	1	349	4207	1897	0.450915	0.001472	TS	SPYH-method	10	DFSM_R20_5.fsm
0	1	20	5	5	1	151	3327	2537	0.762549	0.007704	TS	S-method	11	DFSM_R20_5.fsm
0	1	20	5	5	2	2025	26175	9111	0.348080	0.009913	TS	SVS-method	0	DFSM_R20_5.fsm
0	1	20	5	5	2	4556	50541	9617	0.190281	0.008337	TS	W-method	1	DFSM_R20_5.fsm
0	1	20	5	5	2	4556	50541	9617	0.190281	0.008609	TS	W-methodST	2	DFSM_R20_5.fsm
0	1	20	5	5	2	3436	37037	8497	0.229419	0.007473	TS	Wp-method	3	DFSM_R20_5.fsm
0	1	20	5	5	2	3436	37037	8497	0.229419	0.007325	TS	Wp-methodST	4	DFSM_R20_5.fsm
0	1	20	5	5	2	3274	39052	8335	0.213433	0.007002	TS	HSI-method	5	DFSM_R20_5.fsm
0	1	20	5	5	2	2276	30244	10585	0.349987	0.005678	TS	HSI-methodST	6	DFSM_R20_5.fsm
0	1	20	5	5	2	2072	26932	9355	0.347356	0.004855	TS	H-method	7	DFSM_R20_5.fsm
0	1	20	5	5	2	1878	30080	13931	0.463132	0.013446	TS	SPY-method	8	DFSM_R20_5.fsm
0	1	20	5	5	2	2276	30244	10585	0.349987	0.005026	TS	SPY-methodST	9	DFSM_R20_5.fsm
0	1	20	5	5	2	1740	25156	9503	0.377763	0.011610	TS	SPYH-method	10	DFSM_R20_5.fsm
0	1	20	5	5	2	849	19789	13479	0.681136	0.079000	TS	S-method	11	DFSM_R20_5.fsm
0	1	20	5	5	0	81	739	363	0.491204	0.000507	TS	SVS-method	0	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	283	2000	484	0.242000	0.000453	TS	W-method	1	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	283	2000	484	0.242000	0.000487	TS	W-methodST	2	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	116	859	317	0.369034	0.000355	TS	Wp-method	3	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	116	859	317	0.369034	0.000369	TS	Wp-methodST	4	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	130	1070	331	0.309346	0.000274	TS	HSI-method	5	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	89	873	443	0.507446	0.000391	TS	HSI-methodST	6	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	92	840	385	0.458333	0.000206	TS	H-method	7	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	96	992	477	0.480847	0.000295	TS	SPY-method	8	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	89	873	443	0.507446	0.000395	TS	SPY-methodST	9	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	81	749	369	0.492657	0.000310	TS	SPYH-method	10	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	0	28	592	499	0.842905	0.001464	TS	S-method	11	DFSM_R20_5_D2ix0.fsm
0	1	20	5	5	1	405	4505	1821	0.404218	0.001830	TS	SVS-method	0	DFSM_R20_5_D2ix0.fsm
