Correct/IndistMachines,FSMtype,States,Inputs,Outputs,ES,Resets,Symbols,Size,Exploration,seconds,AlgorithmType,Algorithm,AlgId,fileName
0,1,50,5,5,0,233,2475,1005,0.406061,0.002879,TS,SVS-method,0,DFSM_R50_5.fsm
0,1,50,5,5,0,703,5904,1204,0.20393,0.001738,TS,W-method,1,DFSM_R50_5.fsm
0,1,50,5,5,0,703,5904,1204,0.20393,0.001948,TS,W-methodST,2,DFSM_R50_5.fsm
0,1,50,5,5,0,483,4062,984,0.242245,0.001871,TS,Wp-method,3,DFSM_R50_5.fsm
0,1,50,5,5,0,541,4424,1042,0.235533,0.001971,TS,Wp-methodST,4,DFSM_R50_5.fsm
0,1,50,5,5,0,418,3970,919,0.231486,0.001045,TS,HSI-method,5,DFSM_R50_5.fsm
0,1,50,5,5,0,242,2853,1328,0.465475,0.001668,TS,HSI-methodST,6,DFSM_R50_5.fsm
0,1,50,5,5,0,243,2623,1091,0.415936,0.00088,TS,H-method,7,DFSM_R50_5.fsm
0,1,50,5,5,0,263,3187,1449,0.45466,0.001065,TS,SPY-method,8,DFSM_R50_5.fsm
0,1,50,5,5,0,163,2041,1097,0.537482,0.001684,TS,SPY-methodST,9,DFSM_R50_5.fsm
0,1,50,5,5,0,219,2479,1131,0.456232,0.001315,TS,SPYH-method,10,DFSM_R50_5.fsm
0,1,50,5,5,0,66,1752,1465,0.836187,0.008966,TS,S-method,11,DFSM_R50_5.fsm
0,1,50,5,5,1,1177,14901,5089,0.341521,0.010265,TS,SVS-method,0,DFSM_R50_5.fsm
0,1,50,5,5,1,3517,36552,6028,0.164916,0.00662,TS,W-method,1,DFSM_R50_5.fsm
0,1,50,5,5,1,3517,36552,6028,0.164916,0.007168,TS,W-methodST,2,DFSM_R50_5.fsm
0,1,50,5,5,1,2407,24938,4918,0.197209,0.005768,TS,Wp-method,3,DFSM_R50_5.fsm
0,1,50,5,5,1,2687,27256,5198,0.19071,0.005935,TS,Wp-methodST,4,DFSM_R50_5.fsm
0,1,50,5,5,1,2083,23914,4594,0.192105,0.004574,TS,HSI-method,5,DFSM_R50_5.fsm
0,1,50,5,5,1,1206,16677,6674,0.400192,0.004326,TS,HSI-methodST,6,DFSM_R50_5.fsm
0,1,50,5,5,1,1022,13656,5485,0.401655,0.003179,TS,H-method,7,DFSM_R50_5.fsm
0,1,50,5,5,1,1094,17018,7857,0.461688,0.006209,TS,SPY-method,8,DFSM_R50_5.fsm
0,1,50,5,5,1,769,11747,5811,0.494679,0.004595,TS,SPY-methodST,9,DFSM_R50_5.fsm
0,1,50,5,5,1,917,13001,5585,0.429582,0.007766,TS,SPYH-method,10,DFSM_R50_5.fsm
