Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	2	60	5	5	0	1183	6347	1914	0.301560	0.005548	TS	SVS-method	0	Mealy_R60_5.fsm
0	2	60	5	5	0	1205	5925	1505	0.254008	0.002462	TS	W-method	1	Mealy_R60_5.fsm
0	2	60	5	5	0	1205	5925	1505	0.254008	0.002534	TS	W-methodST	2	Mealy_R60_5.fsm
0	2	60	5	5	0	720	3549	1020	0.287405	0.002422	TS	Wp-method	3	Mealy_R60_5.fsm
0	2	60	5	5	0	720	3549	1020	0.287405	0.002648	TS	Wp-methodST	4	Mealy_R60_5.fsm
0	2	60	5	5	0	769	3795	1069	0.281686	0.001123	TS	HSI-method	5	Mealy_R60_5.fsm
0	2	60	5	5	0	322	2089	1126	0.539014	0.001769	TS	HSI-methodST	6	Mealy_R60_5.fsm
0	2	60	5	5	0	480	2726	1105	0.405356	0.001573	TS	H-method	7	Mealy_R60_5.fsm
0	2	60	5	5	0	436	2576	1173	0.455357	0.001349	TS	SPY-method	8	Mealy_R60_5.fsm
0	2	60	5	5	0	322	2089	1126	0.539014	0.001741	TS	SPY-methodST	9	Mealy_R60_5.fsm
0	2	60	5	5	0	364	2271	1134	0.499339	0.002857	TS	SPYH-method	10	Mealy_R60_5.fsm
0	2	60	5	5	0	119	1792	1518	0.847098	0.044493	TS	S-method	11	Mealy_R60_5.fsm
0	2	60	5	5	1	5867	37391	9531	0.254901	0.013678	TS	SVS-method	0	Mealy_R60_5.fsm
0	2	60	5	5	1	6025	35650	7530	0.211220	0.007831	TS	W-method	1	Mealy_R60_5.fsm
0	2	60	5	5	1	6025	35650	7530	0.211220	0.007574	TS	W-methodST	2	Mealy_R60_5.fsm
0	2	60	5	5	1	3580	21221	5085	0.239621	0.005704	TS	Wp-method	3	Mealy_R60_5.fsm
0	2	60	5	5	1	3580	21221	5085	0.239621	0.005726	TS	Wp-methodST	4	Mealy_R60_5.fsm
0	2	60	5	5	1	3808	22580	5313	0.235297	0.004379	TS	HSI-method	5	Mealy_R60_5.fsm
0	2	60	5	5	1	1613	12109	5645	0.466182	0.003634	TS	HSI-methodST	6	Mealy_R60_5.fsm
0	2	60	5	5	1	2059	14541	5492	0.377691	0.006034	TS	H-method	7	Mealy_R60_5.fsm
0	2	60	5	5	1	1817	13793	6274	0.454868	0.007424	TS	SPY-method	8	Mealy_R60_5.fsm
0	2	60	5	5	1	1613	12109	5645	0.466182	0.003770	TS	SPY-methodST	9	Mealy_R60_5.fsm
0	2	60	5	5	1	1422	11270	5406	0.479681	0.029277	TS	SPYH-method	10	Mealy_R60_5.fsm
0	2	60	5	5	1	447	10105	8736	0.864523	0.364098	TS	S-method	11	Mealy_R60_5.fsm
0	2	60	5	5	2	29392	216718	47703	0.220116	0.058741	TS	SVS-method	0	Mealy_R60_5.fsm
0	2	60	5	5	2	30125	208375	37655	0.180708	0.035447	TS	W-method	1	Mealy_R60_5.fsm
0	2	60	5	5	2	30125	208375	37655	0.180708	0.034788	TS	W-methodST	2	Mealy_R60_5.fsm
0	2	60	5	5	2	17888	123813	25418	0.205293	0.022415	TS	Wp-method	3	Mealy_R60_5.fsm
0	2	60	5	5	2	17888	123813	25418	0.205293	0.022124	TS	Wp-methodST	4	Mealy_R60_5.fsm
0	2	60	5	5	2	19074	131976	26604	0.201582	0.021830	TS	HSI-method	5	Mealy_R60_5.fsm
0	2	60	5	5	2	8078	68742	28265	0.411175	0.013162	TS	HSI-methodST	6	Mealy_R60_5.fsm
0	2	60	5	5	2	8653	72835	27533	0.378019	0.028394	TS	H-method	7	Mealy_R60_5.fsm
0	2	60	5	5	2	8231	75335	33688	0.447176	0.066364	TS	SPY-method	8	Mealy_R60_5.fsm
0	2	60	5	5	2	8078	68742	28265	0.411175	0.013862	TS	SPY-methodST	9	Mealy_R60_5.fsm
0	2	60	5	5	2	7304	65309	27131	0.415425	0.522827	TS	SPYH-method	10	Mealy_R60_5.fsm
0	2	60	5	5	2	2321	59149	49545	0.837630	6.651080	TS	S-method	11	Mealy_R60_5.fsm
0	2	60	5	5	0	1049	5375	1634	0.304000	0.005778	TS	SVS-method	0	Mealy_R60_5_BILma.fsm
