"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	2	80	5	5	0	1865	10360	2858	0.275869	0.010283	TS	SVS-method	0	Mealy_R80_5.fsm"
"0	2	80	5	5	0	1605	8125	2005	0.246769	0.003754	TS	W-method	1	Mealy_R80_5.fsm"
"0	2	80	5	5	0	1605	8125	2005	0.246769	0.003856	TS	W-methodST	2	Mealy_R80_5.fsm"
"0	2	80	5	5	0	986	4981	1386	0.278257	0.004092	TS	Wp-method	3	Mealy_R80_5.fsm"
"0	2	80	5	5	0	957	4837	1357	0.280546	0.004181	TS	Wp-methodST	4	Mealy_R80_5.fsm"
"0	2	80	5	5	0	1090	5510	1490	0.270417	0.001714	TS	HSI-method	5	Mealy_R80_5.fsm"
"0	2	80	5	5	0	341	2547	1531	0.601099	0.002830	TS	HSI-methodST	6	Mealy_R80_5.fsm"
"0	2	80	5	5	0	590	3578	1497	0.418390	0.002596	TS	H-method	7	Mealy_R80_5.fsm"
"0	2	80	5	5	0	624	3732	1633	0.437567	0.001994	TS	SPY-method	8	Mealy_R80_5.fsm"
"0	2	80	5	5	0	341	2547	1531	0.601099	0.002858	TS	SPY-methodST	9	Mealy_R80_5.fsm"
"0	2	80	5	5	0	453	2982	1521	0.510060	0.004966	TS	SPYH-method	10	Mealy_R80_5.fsm"
"0	2	80	5	5	0	153	2241	1851	0.825971	0.070023	TS	S-method	11	Mealy_R80_5.fsm"
"0	2	80	5	5	1	9279	60903	14244	0.233880	0.023824	TS	SVS-method	0	Mealy_R80_5.fsm"
"0	2	80	5	5	1	8025	48650	10030	0.206166	0.011222	TS	W-method	1	Mealy_R80_5.fsm"
"0	2	80	5	5	1	8025	48650	10030	0.206166	0.010828	TS	W-methodST	2	Mealy_R80_5.fsm"
"0	2	80	5	5	1	4929	29889	6934	0.231992	0.008831	TS	Wp-method	3	Mealy_R80_5.fsm"
"0	2	80	5	5	1	4768	28912	6773	0.234263	0.008619	TS	Wp-methodST	4	Mealy_R80_5.fsm"
"0	2	80	5	5	1	5438	32977	7443	0.225703	0.006565	TS	HSI-method	5	Mealy_R80_5.fsm"
"0	2	80	5	5	1	1703	14421	7696	0.533666	0.005208	TS	HSI-methodST	6	Mealy_R80_5.fsm"
"0	2	80	5	5	1	2516	18719	7460	0.398526	0.010090	TS	H-method	7	Mealy_R80_5.fsm"
"0	2	80	5	5	1	2695	20369	8773	0.430704	0.011103	TS	SPY-method	8	Mealy_R80_5.fsm"
"0	2	80	5	5	1	1703	14421	7696	0.533666	0.005494	TS	SPY-methodST	9	Mealy_R80_5.fsm"
"0	2	80	5	5	1	1856	15045	7370	0.489864	0.056885	TS	SPYH-method	10	Mealy_R80_5.fsm"
"0	2	80	5	5	1	834	12804	9937	0.776086	0.601042	TS	S-method	11	Mealy_R80_5.fsm"
"0	2	80	5	5	2	46392	350985	71213	0.202895	0.105735	TS	SVS-method	0	Mealy_R80_5.fsm"
"0	2	80	5	5	2	40125	283375	50155	0.176992	0.054582	TS	W-method	1	Mealy_R80_5.fsm"
"0	2	80	5	5	2	40125	283375	50155	0.176992	0.050707	TS	W-methodST	2	Mealy_R80_5.fsm"
"0	2	80	5	5	2	24606	173766	34636	0.199326	0.035021	TS	Wp-method	3	Mealy_R80_5.fsm"
"0	2	80	5	5	2	23810	168135	33840	0.201267	0.032152	TS	Wp-methodST	4	Mealy_R80_5.fsm"
"0	2	80	5	5	2	27219	192259	37249	0.193744	0.032664	TS	HSI-method	5	Mealy_R80_5.fsm"
"0	2	80	5	5	2	8514	80655	38513	0.477503	0.017315	TS	HSI-methodST	6	Mealy_R80_5.fsm"
"0	2	80	5	5	2	10502	91752	36926	0.402454	0.047035	TS	H-method	7	Mealy_R80_5.fsm"
"0	2	80	5	5	2	12449	111921	46732	0.417545	0.101091	TS	SPY-method	8	Mealy_R80_5.fsm"
"0	2	80	5	5	2	8514	80655	38513	0.477503	0.019239	TS	SPY-methodST	9	Mealy_R80_5.fsm"
"0	2	80	5	5	2	9363	85681	36994	0.431764	1.160863	TS	SPYH-method	10	Mealy_R80_5.fsm"
"0	2	80	5	5	2	4345	73109	53845	0.736503	8.664611	TS	S-method	11	Mealy_R80_5.fsm"
