Correct/IndistMachines,FSMtype,States,Inputs,Outputs,ES,Resets,Symbols,Size,Exploration,seconds,AlgorithmType,Algorithm,AlgId,fileName
0,3,150,5,5,0,2244,28188,7261,0.257592,0.028948,TS,SVS-method,0,Moore_R150_5.fsm
0,3,150,5,5,0,3605,35034,5106,0.145744,0.013834,TS,W-method,1,Moore_R150_5.fsm
0,3,150,5,5,0,3605,35034,5106,0.145744,0.014089,TS,W-methodST,2,Moore_R150_5.fsm
0,3,150,5,5,0,2037,19414,3538,0.18224,0.014065,TS,Wp-method,3,Moore_R150_5.fsm
0,3,150,5,5,0,2013,19194,3514,0.183078,0.014129,TS,Wp-methodST,4,Moore_R150_5.fsm
0,3,150,5,5,0,1768,19396,3269,0.16854,0.005515,TS,HSI-method,5,Moore_R150_5.fsm
0,3,150,5,5,0,701,10560,5173,0.489867,0.012675,TS,HSI-methodST,6,Moore_R150_5.fsm
0,3,150,5,5,0,1062,14166,4993,0.352464,0.006676,TS,H-method,7,Moore_R150_5.fsm
0,3,150,5,5,0,1041,14299,5525,0.386391,0.005542,TS,SPY-method,8,Moore_R150_5.fsm
0,3,150,5,5,0,585,9629,5161,0.535985,0.013216,TS,SPY-methodST,9,Moore_R150_5.fsm
0,3,150,5,5,0,828,11978,5085,0.424528,0.010111,TS,SPYH-method,10,Moore_R150_5.fsm
0,3,150,5,5,0,301,8915,6895,0.773416,0.10174,TS,S-method,11,Moore_R150_5.fsm
0,3,150,5,5,1,11121,162083,36087,0.222645,0.105734,TS,SVS-method,0,Moore_R150_5.fsm
0,3,150,5,5,1,18029,211224,25540,0.120914,0.04274,TS,W-method,1,Moore_R150_5.fsm
0,3,150,5,5,1,18029,211224,25540,0.120914,0.04254,TS,W-methodST,2,Moore_R150_5.fsm
0,3,150,5,5,1,10192,117517,17703,0.150642,0.031812,TS,Wp-method,3,Moore_R150_5.fsm
0,3,150,5,5,1,9996,115149,17507,0.152038,0.030436,TS,Wp-methodST,4,Moore_R150_5.fsm
0,3,150,5,5,1,8759,113630,16270,0.143184,0.020614,TS,HSI-method,5,Moore_R150_5.fsm
0,3,150,5,5,1,3564,60612,25921,0.427655,0.021462,TS,HSI-methodST,6,Moore_R150_5.fsm
0,3,150,5,5,1,4537,72639,24309,0.334655,0.021949,TS,H-method,7,Moore_R150_5.fsm
0,3,150,5,5,1,4315,73681,29473,0.400008,0.026599,TS,SPY-method,8,Moore_R150_5.fsm
0,3,150,5,5,1,2934,54936,26583,0.48389,0.027859,TS,SPY-methodST,9,Moore_R150_5.fsm
0,3,150,5,5,1,3374,59182,24313,0.410817,0.072563,TS,SPYH-method,10,Moore_R150_5.fsm
0,3,150,5,5,1,1479,50087,37241,0.743526,0.634691,TS,S-method,11,Moore_R150_5.fsm
0,3,150,5,5,2,55647,922273,180423,0.195629,0.54002,TS,SVS-method,0,Moore_R150_5.fsm
0,3,150,5,5,2,90149,1236414,127710,0.103291,0.21561,TS,W-method,1,Moore_R150_5.fsm
0,3,150,5,5,2,90149,1236414,127710,0.103291,0.220204,TS,W-methodST,2,Moore_R150_5.fsm
0,3,150,5,5,2,50885,688006,88446,0.128554,0.149209,TS,Wp-method,3,Moore_R150_5.fsm
0,3,150,5,5,2,49957,675104,87518,0.129636,0.133254,TS,Wp-methodST,4,Moore_R150_5.fsm
0,3,150,5,5,2,43765,654792,81326,0.124201,0.115498,TS,HSI-method,5,Moore_R150_5.fsm
0,3,150,5,5,2,17768,337569,129407,0.38335,0.077623,TS,HSI-methodST,6,Moore_R150_5.fsm
0,3,150,5,5,2,18536,344082,120747,0.350925,0.110314,TS,H-method,7,Moore_R150_5.fsm
0,3,150,5,5,2,19537,394351,158253,0.4013,0.229184,TS,SPY-method,8,Moore_R150_5.fsm
0,3,150,5,5,2,14583,305523,135757,0.444343,0.135491,TS,SPY-methodST,9,Moore_R150_5.fsm
0,3,150,5,5,2,17256,336308,121593,0.361553,1.23655,TS,SPYH-method,10,Moore_R150_5.fsm
0,3,150,5,5,2,8026,282366,195899,0.693777,9.227691,TS,S-method,11,Moore_R150_5.fsm
0,3,150,5,5,0,2287,28401,7259,0.25559,0.029804,TS,SVS-method,0,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,3605,37846,6608,0.174602,0.018845,TS,W-method,1,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,3605,37846,6608,0.174602,0.019134,TS,W-methodST,2,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,2481,23720,4344,0.183137,0.014784,TS,Wp-method,3,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,2440,23308,4303,0.184615,0.014842,TS,Wp-methodST,4,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,1678,18352,3241,0.176602,0.005393,TS,HSI-method,5,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,726,10666,5071,0.475436,0.012188,TS,HSI-methodST,6,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,988,13248,4845,0.365716,0.006345,TS,H-method,7,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,988,13688,5457,0.39867,0.005357,TS,SPY-method,8,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,572,9396,5049,0.537356,0.012416,TS,SPY-methodST,9,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,830,11936,5161,0.432389,0.010072,TS,SPYH-method,10,Moore_R150_5_0J72E.fsm
0,3,150,5,5,0,290,8568,6687,0.780462,0.115851,TS,S-method,11,Moore_R150_5_0J72E.fsm
0,3,150,5,5,1,11430,164912,36277,0.219978,0.105078,TS,SVS-method,0,Moore_R150_5_0J72E.fsm
0,3,150,5,5,1,18029,225288,33052,0.14671,0.044751,TS,W-method,1,Moore_R150_5_0J72E.fsm
0,3,150,5,5,1,18029,225288,33052,0.14671,0.046961,TS,W-methodST,2,Moore_R150_5_0J72E.fsm
