Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	90	5	5	0	961	11337	3505	0.309165	0.010493	TS	SVS-method	0	Moore_R90_5.fsm
0	3	90	5	5	0	1714	15251	2615	0.171464	0.005338	TS	W-method	1	Moore_R90_5.fsm
0	3	90	5	5	0	1714	15251	2615	0.171464	0.005531	TS	W-methodST	2	Moore_R90_5.fsm
0	3	90	5	5	0	1047	9192	1948	0.211923	0.005337	TS	Wp-method	3	Moore_R90_5.fsm
0	3	90	5	5	0	1026	9007	1927	0.213945	0.005470	TS	Wp-methodST	4	Moore_R90_5.fsm
0	3	90	5	5	0	874	8800	1775	0.201705	0.002525	TS	HSI-method	5	Moore_R90_5.fsm
0	3	90	5	5	0	412	5510	2713	0.492377	0.004773	TS	HSI-methodST	6	Moore_R90_5.fsm
0	3	90	5	5	0	575	6989	2655	0.379883	0.002637	TS	H-method	7	Moore_R90_5.fsm
0	3	90	5	5	0	546	6898	2881	0.417657	0.002461	TS	SPY-method	8	Moore_R90_5.fsm
0	3	90	5	5	0	412	5510	2713	0.492377	0.004734	TS	SPY-methodST	9	Moore_R90_5.fsm
0	3	90	5	5	0	419	5645	2683	0.475288	0.003894	TS	SPYH-method	10	Moore_R90_5.fsm
0	3	90	5	5	0	148	4370	3543	0.810755	0.030029	TS	S-method	11	Moore_R90_5.fsm
0	3	90	5	5	1	4829	66561	17583	0.264164	0.039116	TS	SVS-method	0	Moore_R90_5.fsm
0	3	90	5	5	1	8573	93398	13084	0.140089	0.018938	TS	W-method	1	Moore_R90_5.fsm
0	3	90	5	5	1	8573	93398	13084	0.140089	0.019500	TS	W-methodST	2	Moore_R90_5.fsm
0	3	90	5	5	1	5270	56817	9781	0.172149	0.014443	TS	Wp-method	3	Moore_R90_5.fsm
0	3	90	5	5	1	5167	55676	9678	0.173827	0.013813	TS	Wp-methodST	4	Moore_R90_5.fsm
0	3	90	5	5	1	4365	52736	8876	0.168310	0.010493	TS	HSI-method	5	Moore_R90_5.fsm
0	3	90	5	5	1	2058	31511	13459	0.427121	0.009961	TS	HSI-methodST	6	Moore_R90_5.fsm
0	3	90	5	5	1	2334	35068	13181	0.375870	0.009342	TS	H-method	7	Moore_R90_5.fsm
0	3	90	5	5	1	2327	37045	15533	0.419301	0.013472	TS	SPY-method	8	Moore_R90_5.fsm
0	3	90	5	5	1	2058	31511	13459	0.427121	0.011068	TS	SPY-methodST	9	Moore_R90_5.fsm
0	3	90	5	5	1	1902	30984	13321	0.429932	0.026484	TS	SPYH-method	10	Moore_R90_5.fsm
0	3	90	5	5	1	804	25454	19203	0.754420	0.190411	TS	S-method	11	Moore_R90_5.fsm
0	3	90	5	5	2	24139	380991	87879	0.230659	0.210444	TS	SVS-method	0	Moore_R90_5.fsm
0	3	90	5	5	2	42868	552723	65429	0.118376	0.104154	TS	W-method	1	Moore_R90_5.fsm
0	3	90	5	5	2	42868	552723	65429	0.118376	0.102879	TS	W-methodST	2	Moore_R90_5.fsm
0	3	90	5	5	2	26343	336700	48904	0.145245	0.077358	TS	Wp-method	3	Moore_R90_5.fsm
0	3	90	5	5	2	25793	329506	48354	0.146747	0.071079	TS	Wp-methodST	4	Moore_R90_5.fsm
0	3	90	5	5	2	21883	308016	44444	0.144291	0.058186	TS	HSI-method	5	Moore_R90_5.fsm
0	3	90	5	5	2	10266	177927	67489	0.379307	0.042441	TS	HSI-methodST	6	Moore_R90_5.fsm
0	3	90	5	5	2	10649	184149	66125	0.359084	0.049923	TS	H-method	7	Moore_R90_5.fsm
0	3	90	5	5	2	10622	201670	83597	0.414524	0.109897	TS	SPY-method	8	Moore_R90_5.fsm
0	3	90	5	5	2	10266	177927	67489	0.379307	0.040260	TS	SPY-methodST	9	Moore_R90_5.fsm
0	3	90	5	5	2	9863	178997	66225	0.369978	0.338156	TS	SPYH-method	10	Moore_R90_5.fsm
0	3	90	5	5	2	4366	147338	104209	0.707279	2.707089	TS	S-method	11	Moore_R90_5.fsm
0	3	90	5	5	0	976	11658	3501	0.300309	0.010251	TS	SVS-method	0	Moore_R90_5_DoF5v.fsm
0	3	90	5	5	0	1714	15593	2615	0.167703	0.004914	TS	W-method	1	Moore_R90_5_DoF5v.fsm
0	3	90	5	5	0	1714	15593	2615	0.167703	0.005098	TS	W-methodST	2	Moore_R90_5_DoF5v.fsm
0	3	90	5	5	0	1067	9556	1968	0.205944	0.005297	TS	Wp-method	3	Moore_R90_5_DoF5v.fsm
0	3	90	5	5	0	1056	9455	1957	0.206980	0.005270	TS	Wp-methodST	4	Moore_R90_5_DoF5v.fsm
